numberArgument,numberAdvocate,nameAdvocate,homeAdvocate,selfAdvocate,argsAdvocate,dateArgument,caseInfo,citeInfo,corrections
14,9,"Mabel Walker Willebrandt","",false,2,"Nov. 29, 1922","Brooks v. United States (No. 197), United States v. Remus (No. 403), and United States v. Stafoff (No. 26), 260 U.S. 477 (1923)","1922 J. Sup. Ct. U.S. 104",""
15,9,"Mabel Walker Willebrandt","",false,3,"Jan. 5, 1923","Int'l Mercantile Marine Co. v. Stuart (No. 693) and United American Lines v. Stuart, reported as Cunard v. Mellon, 262 U.S. 100 (1923)","1922 J. Sup. Ct. U.S. 134",""
16,10,"Florence King","Chicago, IL",false,1,"Jan. 17-18, 1923","Crown Die & Tool Co. v. Nye Tool & Machine Works (No. 240), 261 U.S. 24 (1923)","1922 J. Sup. Ct. U.S. 154-155",""
17,6,"Helen Z. M. Rodgers","",false,2,"Apr. 27, 1923","Taggarts v. New York (No. 96), 262 U.S. 731 (1923)","1922 J. Sup. Ct. U.S. 269","Changed Helene to Helen"
18,9,"Mabel Walker Willebrandt","",false,4,"Jan. 25, 1924","Lynch v. Tilden Produce Co. (No. 139), 265 U.S. 315 (1924)","1923 J. Sup. Ct. U.S. 148",""
19,9,"Mabel Walker Willebrandt","",false,5,"Mar. 10, 1924","Gnerich (B&S) v. Rutter (No. 79), 265 U.S. 388 (1924)","1923 J. Sup. Ct. U.S. 194",""
20,9,"Mabel Walker Willebrandt","",false,6,"Apr. 16, 1924","Kennedy v. United States (No. 222), 264 U.S. 344 (1924)","1923 J. Sup. Ct. U.S. 228",""
21,11,"Regene Freund Cohane","Detroit, MI",false,1,"Dec. 12, 1924","Ebert v. Poston (No. 153), 266 U.S. 548 (1925)","1924 J. Sup. Ct. U.S. 110",""
22,12,"Susan Brandeis","New York, NY",false,1,"Oct. 5, 1925","Margolin v. United States (No. 254), 269 U.S. 93 (1925)","1925 J. Sup. Ct. U.S. 28",""
23,9,"Mabel Walker Willebrandt","",false,7,"Dec. 9, 1925","Port Gardner Investment Co. v. United States (No. 611), 272 U.S. 564 (1926)","1925 J. Sup. Ct. U.S. 114",""
24,9,"Mabel Walker Willebrandt","",false,8,"Mar. 3, 1926","United States v. Zerbey (No. 790) and Lederer v. McGarvey (No. 120), 271 U.S. 342 (1926)","1925 J. Sup. Ct. U.S. 199",""
25,9,"Mabel Walker Willebrandt","",false,9,"Mar. 10, 1926","Edwards v. Chile Copper Co. (No. 375), 270 U.S. 452 (1926)","1925 J. Sup. Ct. U.S. 212",""
26,9,"Mabel Walker Willebrandt","",false,10,"Mar. 11, 1926","United States v. Katz (Nos. 726 & 727), 271 U.S. 354 (1926)","1925 J. Sup. Ct. U.S. 213",""
27,9,"Mabel Walker Willebrandt","",false,11,"Apr. 30, 1926","Lambert v. Yellowley (No. 301), 272 U.S. 581 (1926)","1925 J. Sup. Ct. U.S. 281",""
28,13,"Grace E. Smith","Oregon Ass't Attorney General",false,1,"Oct. 12, 1926","Moore v. Fidelity & Deposit (No. 185), 272 U.S. 317 (1926)","1926 J. Sup. Ct. U.S. 49",""
29,9,"Mabel Walker Willebrandt","",false,12,"Oct. 27, 1926","Dodge v. United States (No. 341), 272 U.S. 530 (1926)","1926 J. Sup. Ct. U.S. 75",""
30,9,"Mabel Walker Willebrandt","",false,13,"Jan. 18, 1927","Hellmich v. Missouri Pacific R.R. Co. (No. 507), 273 U.S. 242 (1927)","1926 J. Sup. Ct. U.S. 175",""
31,9,"Mabel Walker Willebrandt","",false,14,"Jan. 20, 1927","Maul v. United States (No. 655), 274 U.S. 501 (1927)","1926 J. Sup. Ct. U.S. 177",""
32,9,"Mabel Walker Willebrandt","",false,15,"Apr. 25, 1927","Phillips v. Int'l Salt Co. (No. 297), 274 U.S. 718 (1927)","1926 J. Sup. Ct. U.S. 300",""
33,9,"Mabel Walker Willebrandt","",false,16,"Apr. 27, 1927","United States v. Sullivan (No. 851), 274 U.S. 259 (1927)","1926 J. Sup. Ct. U.S. 302",""
34,9,"Mabel Walker Willebrandt","",false,17,"Oct. 12, 1927","Marron v. United States (No. 185), 275 U.S. 192 (1927)","1927 J. Sup. Ct. U.S. 52",""
35,9,"Mabel Walker Willebrandt","",false,18,"Oct. 12-13, 1927","Gambino v. United States (No. 226), 275 U.S. 310 (1927)","1927 J. Sup. Ct. U.S. 52-53",""
36,9,"Mabel Walker Willebrandt","",false,19,"Oct. 21, 1927","Grosfield v. United States (No. 62), 276 U.S. 294 (1928)","1927 J. Sup. Ct. U.S. 70",""
37,9,"Mabel Walker Willebrandt","",false,20,"Nov. 22, 1927","Donnelley v. United States (No. 110), 276 U.S. 505 (1928)","1927 J. Sup. Ct. U.S. 118",""
38,9,"Mabel Walker Willebrandt","",false,21,"Nov. 23, 1927","United States v. Murray (No. 394), 275 U.S. 347 (1928)","1927 J. Sup. Ct. U.S. 119",""
39,9,"Mabel Walker Willebrandt","",false,22,"Jan. 4, 1928","Hellmich v. Isadore Hellman (No. 299) and Hellmich v. Milton Hellman (No. 300), 276 U.S. 233 (1928)","1927 J. Sup. Ct. U.S. 159",""
40,9,"Mabel Walker Willebrandt","",false,23,"Jan. 19, 1928","Donnelley v. United States (No. 110), 276 U.S. 505 (1928)","1927 J. Sup. Ct. U.S. 180",""
41,9,"Mabel Walker Willebrandt","",false,24,"Mar. 13, 1928","United States v. John Barth Co. (No. 610), 276 U.S. 606 (1928)","1927 J. Sup. Ct. U.S. 244",""
42,9,"Mabel Walker Willebrandt","",false,25,"Apr. 17, 1928","Reinecke v. Gardner, No. 471), 277 U.S. 239 (1928)","1927 J. Sup. Ct. U.S. 284",""
43,9,"Mabel Walker Willebrandt","",false,26,"Apr. 26, 1928","Taft v. Bowers(No. 554) and Greenway v. Bowers (No. 575), 278 U.S. 470 (1929)","1927 J. Sup. Ct. U.S. 299",""
44,14,"Olive H. Rabe","Chicago, IL",false,1,"Apr. 12, 1929","United States v Schwimmer (No. 484), 279 U.S. 644 (1929)","1928 J. Sup. Ct. U.S. 247",""
45,9,"Mabel Walker Willebrandt","",false,27,"Apr. 12, 1929","Lucas v. Alexander (No. 481), 279 U.S. 573 (1929)","1928 J. Sup. Ct. U.S. 247",""
46,9,"Mabel Walker Willebrandt","",false,28,"Apr. 18, 1929","United States v. John Barth Co. (No. 526), 279 U.S. 370 (1929)","1928 J. Sup. Ct. U.S. 260",""
47,15,"Emily Marx","New York, NY",false,1,"Apr. 27-28, 1931","United States v Bland (No. 505), 283 U.S. 636 (1931)","1930 J. Sup. Ct. U.S. 304-305",""
48,16,"Elizabeth Robinson","New York, NY",false,1,"Feb. 16-17, 1932","Alexander v. Spencer Kellogg & Sons Inc. (No. 444) reported as Spencer Kellogg & Sons, Inc. v. Hicks (No. 430), 285 U.S. 502 (1932)","1931 J. Sup. Ct. U.S. 203-204",""
49,17,"Alice E. Alexander","Michigan Ass't Attorney General",false,1,"Nov. 11, 1932","Detroit Int'l Bridge Co. v. Michigan Corporation Tax Appeal Board (No. 51), 287 U.S. 295 (1932)","1932 J. Sup. Ct. U.S. 66",""
50,9,"Mabel Walker Willebrandt","",false,29,"Apr. 11, 1933","Federal Radio Comm'n v. Nelson Bros. (No. 657), Federal Radio Comm'n v. North Star Church (Nos. 658 & 660), and Federal Radio Comm'n v. Nelson Bros. (No. 659), 289 U.S. 266 (1933)","1932 J. Sup. Ct. U.S. 188",""
51,17,"Alice E. Alexander","",false,2,"Dec. 14, 1934","Detroit Int'l Bridge Co. v. Michigan (No. 272), 294 U.S. 83 (1935)","1934 J. Sup. Ct. U.S. 96",""
52,18,"Helen R. Carloss","Attorney, U.S. Dep't of Justice",false,1,"Apr. 28, 1938","Lang v. Commissioner (No. 919), 304 U.S. 264 (1938)","1937 J. Sup. Ct. U.S. 242",""
53,19,"Hester W. Webb","California Ass't Attorney General",false,1,"Oct. 18, 1938","Neblett v. Carpenter (No. 21), 305 U.S. 297 (1938)","1938 J. Sup. Ct. U.S.40",""
54,18,"Helen R. Carloss","",false,2,"Mar. 10, 1939","Helvering v. Metropolitan Edison Co. (Nos. 486 & 487), 306 U.S. 522 (1939)","1938 J. Sup. Ct. U.S. 174",""
55,18,"Helen R. Carloss","",false,3,"Oct. 19, 1939","Sanford's Estate v. Commissioner (No. 34), 308 U.S. 39 (1939)","1939 J. Sup. Ct. U.S.43",""
56,18,"Helen R. Carloss","",false,4,"Oct. 19, 1939","Rasquin v. Humphreys (No. 37), 308 U.S. 54 (1939)","1939 J. Sup. Ct. U.S. 43",""
57,18,"Helen R. Carloss","",false,5,"Dec. 15, 1939","Haggar Co. v. Helvering (No. 176), 308 U.S. 389 (1939)","1939 J. Sup. Ct. U.S. 100",""
58,18,"Helen R. Carloss","",false,6,"Jan. 5, 1940","Real Estate-Land Title & Trust v. United States (No. 229), 309 U.S. 13 (1940)","1939 J. Sup. Ct. U.S. 113",""
59,20,"M. Louise Rutherford","Pennsylvania Deputy Attorney General",false,1,"Dec. 10, 1940","Hines v. Davidowitz (No. 22), 312 U.S. 52 (1941)","1940 J. Sup. Ct. U.S. 83",""
60,18,"Helen R. Carloss","",false,7,"Dec. 12, 1940","McClain v. Commissioner (No. 55), 311 U.S. 527 (1941)","1940 J. Sup. Ct. U.S. 85",""
61,18,"Helen R. Carloss","",false,8,"Dec. 12, 1940","Helvering v. Thomson (No. 58), 311 U.S. 527 (1941)","1940 J. Sup. Ct. U.S. 85",""
62,21,"Anne X. Alpern","City Solicitor, Pittsburgh, PA",false,1,"Jan. 9, 1941","Philadelphia Co. v. Dipple (No. 242), 312 U.S. 168 (1941)","1940 J. Sup. Ct. U.S. 108",""
63,18,"Helen R. Carloss","",false,9,"Mar. 5, 1941","Maguire v. Commissioner (No. 346), 313 U.S. 1 (1941)","1940 J. Sup. Ct. U.S. 163",""
64,18,"Helen R. Carloss","",false,10,"Mar. 6, 1941","Helvering v. Gambrill (Nos. 472-475), 313 U.S. 11 (1941)","1940 J. Sup. Ct. U.S. 163",""
65,18,"Helen R. Carloss","",false,11,"Dec. 8, 1942","Harrison v. Northern Trust Co. (No. 103), 317 U.S. 476 (1943).","1942 J. Sup. Ct. U.S. 79",""
66,22,"Corinne L. Rice","Chicago, IL",false,1,"Jan. 13, 1943","Mandeville v. Canterbury (No. 422), 318 U.S. 47 (1943)","1942 J. Sup. Ct. U.S. 126",""
67,18,"Helen R. Carloss","",false,12,"Nov. 12, 1943","Commissioner v. Gooch Milling & Elevator (No. 53), 320 U.S. 418 (1943)","1943 J. Sup. Ct. U.S. 54",""
68,23,"Elizabeth W. Hulen","Jackson, MS",false,1,"Dec. 17, 1943","Walton v. Southern Package (No. 159), 320 U.S. 540 (1944)","1943 J. Sup. Ct. U.S. 88","aka Elizabeth Watkins Hulen"
69,21,"Anne X. Alpern","",false,2,"Mar. 1, 1944","United States v. Allegheny County (No. 417), 322 U.S. 174 (1944)","1943 J. Sup. Ct. U.S. 149",""
70,24,"Ruth Weyand","Attorney, National Labor Relations Board",false,1,"Mar. 2, 1944","Medo Photo v. NLRB (No. 265), 321 U.S. 678 (1944)","1943 J. Sup. Ct. U.S. 150",""
71,18,"Helen R. Carloss","",false,13,"Mar. 7, 1944","Douglas v. Commissioner (No. 130), 322 U.S. 275 (1944)","1943 J. Sup. Ct. U.S. 159",""
72,18,"Helen R. Carloss","",false,14,"Nov. 16, 1944","United States v. Standard Rice Co. (No. 72), 323 U.S. 106 (1944)","1944 J. Sup. Ct. U.S. 73",""
73,18,"Helen R. Carloss","",false,15,"Dec. 13, 1944","Webre Steib Co. v. Commissioner (No. 148), 324 U.S. 164 (1945)","1944 J. Sup. Ct. U.S. 97",""
74,18,"Helen R. Carloss","",false,16,"Jan. 9, 1945","Merrill v. Fahs (No. 126), 324 U.S. 308 (1945)","1944 J. Sup. Ct. U.S. 135",""
75,18,"Helen R. Carloss","",false,17,"Jan. 9, 1945","Commissioner v. Wemyss (No. 629), 324 U.S. 303 (1945)","1944 J. Sup. Ct. U.S. 135",""
76,24,"Ruth Weyand","",false,2,"Jan. 10, 1945","Republic Aviation Corp v. National Labor Relations Board (No. 226), 324 U.S. 793 (1945)","1944 J. Sup. Ct. U.S. 137",""
77,24,"Ruth Weyand","",false,3,"Jan. 10, 1945","National Labor Relations Board v. LeTourneau Co. (No. 452), 324 U.S. 793 (1945)","1944 J. Sup. Ct. U.S. 138",""
78,18,"Helen R. Carloss","",false,18,"Feb. 2, 1945","Putnam v. Commissioner (No. 534), 324 U.S. 393 (1945)","1944 J. Sup. Ct. U.S. 154",""
79,25,"Bessie Margolin","Assistant Solicitor of Labor",false,1,"Mar. 2, 1945","A.H. Phillips v. Walling (No. 608), 324 U.S. 490 (1945)","1944 J. Sup. Ct. U.S. 181",""
80,18,"Helen R. Carloss","",false,19,"Mar. 29, 1945","Commissioner v. Bedford (No. 710), 325 U.S. 283 (1945)","1944 J. Sup. Ct. U.S. 206",""
81,25,"Bessie Margolin","",false,2,"Apr. 6, 1945","Borden v. Borella (No. 688), 325 U.S. 679 (1945)","1944 J. Sup. Ct. U.S. 216",""
82,25,"Bessie Margolin","",false,3,"Apr. 6, 1945","10 East 40th St. Bldg v. Callus (No. 820), 325 U.S. 679 (1945)","1944 J. Sup. Ct. U.S. 216",""
83,25,"Bessie Margolin","",false,4,"Oct. 8, 1945","Roland Electrical Co. v Walling (No. 45), 327 U.S. 463 (1946)","1945 J. Sup. Ct. U.S. 29",""
84,25,"Bessie Margolin","",false,5,"Oct. 9, 1945","Boutell v. Walling (No. 73), 327 U.S. 463 (1946)","1945 J. Sup. Ct. U.S. 30",""
85,24,"Ruth Weyand","",false,4,"Oct. 12, 1945","May Dep't Stores v. National Labor Relations Board (No. 39), 326 U.S. 376 (1945)","1945 J. Sup. Ct. U.S. 34",""
86,18,"Helen R. Carloss","",false,20,"Nov. 6, 1945","Kirby Petroleum Co. v. Commissioner (No. 56), 326 U.S. 599 (1946)","1945 J. Sup. Ct. U.S. 58",""
87,18,"Helen R. Carloss","",false,21,"Nov. 6-7, 1945","Commissioner v. Crawford (No. 197), 326 U.S. 599 (1946)","1945 J. Sup. Ct. U.S. 58-59",""
88,24,"Ruth Weyand","",false,5,"Jan. 9-10, 1946","National Labor Relations Board v Cheney California Lumber (No. 319), 327 U.S. 385 (1946)","1945 J. Sup. Ct. U.S. 117-118",""
89,26,"Beatrice Rosenberg","Attorney, U.S. Dep't of Justice",false,1,"Oct. 15, 1946","Ballard v. United States (No. 36), 329 U.S. 187 (1946)","1946 J. Sup. Ct. U.S. 36",""
90,24,"Ruth Weyand","",false,6,"Oct. 16, 1946","NLRB v. Donnelly Garment Co. (Nos. 38 & 39), 330 U.S. 219 (1947)","1946 J. Sup. Ct. U.S. 37",""
91,24,"Ruth Weyand","",false,7,"Mar. 7-8, 1947","NLRB v. Jones & Laughlin (Nos. 418 & 419), 331 U.S. 416 (1947)","1946 J. Sup. Ct. U.S. 179, 187",""
92,25,"Bessie Margolin","",false,6,"Apr. 9-10, 1947","Rutherford Food v. Walling (No. 562), 331 U.S. 722 (1947)","1946 J. Sup. Ct. U.S. 218, 219",""
93,26,"Beatrice Rosenberg","",false,2,"Oct. 23, 1947","Blumenthal v. United States (Nos. 54-57), 332 U.S. 539 (1947)","1947 J. Sup. Ct. U.S. 47",""
94,27,"Helen Goodner","Special Ass't to U.S. Attorney General",false,1,"Dec. 10, 1947","Massachusetts v. United States (No. 157), 333 U.S. 611 (1948)","1947 J. Sup. Ct. U.S. 94",""
95,26,"Beatrice Rosenberg","",false,3,"Jan. 9, 1948","Fong Haw Tan v. Phelan (No. 370), 333 U.S. 6 (1948)","1947 J. Sup. Ct. U.S. 118",""
96,28,"Beatrice W. Lampert","Wisconsin Ass't Attorney General",false,1,"Nov. 18, 1948","Int'l Union, UAW v. Wisconsin Employment Relations Board (Nos. 14 & 15), 336 U.S. 245 (1949)","1948 J. Sup. Ct. U.S. 64","aka Beatrice Walker Lampert"
97,28,"Beatrice W. Lampert","",false,2,"Nov. 18, 1947","Algoma Plywood & Veneer Co. v. Wisconsin Employment Relations Board (No. 216), 336 U.S. 301 (1949)","1948 J. Sup. Ct. U.S. 64",""
98,28,"Beatrice W. Lampert","",false,3,"Nov. 19, 1947","LaCrosse Telephone Corp. v. Wisconsin Employment Relations Board (Nos. 38 & 39), 336 U.S. 18 (1949)","1948 J. Sup. Ct. U.S. 65",""
99,29,"Anne R. Davidow","Detroit, MI",false,1,"Nov. 19, 1947","Goesaert v. Cleary (No. 49), 335 U.S. 464 (1948)","1948 J. Sup. Ct. U.S. 65",""
100,30,"Melva M. Graney","Attorney, U.S. Dep't of Justice",false,1,"Dec. 13, 1948","Commissioner v. Wodehouse (Nos. 84 & 88), 337 U.S. 369 (1948)","1948 J. Sup. Ct. U.S. 83","Added Journal page no. 83"
101,25,"Bessie Margolin","",false,7,"Dec. 14-15, 1948","McComb v. Jacksonville Paper Co. (No. 110), 336 U.S. 187 (1949)","1948 J. Sup. Ct. U.S. 90, 91",""
102,31,"Mary Frances Brown","Clarksburg, WV",false,1,"Feb. 9-10, 1949","City of Morgantown v. Royal Insurance Co. (No. 396), 337 U.S. 254 (1948)","1948 J. Sup. Ct. U.S. 144, 145",""
103,32,"Patricia H. Collins","Attorney, U.S. Dep't of Justice",false,1,"Apr. 19, 1949","Johnson v. Shaughnessy (No. 506), 336 U.S. 806 (1949)","1948 J. Sup. Ct. U.S. 194",""
104,24,"Ruth Weyand","",false,8,"Nov. 17, 1949","Colgate-Palmolive v. NLRB (No. 47), 338 U.S. 355 (1949)","1949 J. Sup. Ct. U.S. 76",""
105,25,"Bessie Margolin","",false,8,"Dec. 8-9, 1949","Powell v. United States Cartridge Co. (No. 96); Aaron v. Ford, Bacon & Davis, Inc. (No. 79); Creel v. Lone Star Defense Corp. (No. 58), 339 U.S. 497 (1950)","1949 J. Sup. Ct. U.S. 93-94",""
106,30,"Melva M. Graney","",false,2,"Dec. 13-14, 1949","Bryan v. United States (No. 178), 338 U.S. 552 (1950)","1949 J. Sup. Ct. U.S. 100, 101",""
107,21,"Anne X. Alpern","",false,3,"Jan. 12, 1950","District of Columbia v. Little (No. 302), 339 U.S. 1 (1950)","1949 J. Sup. Ct. U.S. 118",""
108,28,"Beatrice W. Lampert","",false,4,"Feb. 10, 1950","Plankington Packing Co. v. Wisconsin Employment Relations Board (No. 419),","1949 J. Sup. Ct. U.S. 136",""
109,28,"Beatrice W. Lampert","",false,5,"Jan. 9-10, 1951","Amalgamated Association of Street, Electric Railway & Motor Coach Employees v. Wisconsin Employment Relations Board (Nos. 329 & 438) 340 U.S. 383 (1951); St. John v. Wisconsin Employment Relations Board (No. 302), 340 U.S. 411 (1951); and Amalgamated Association of Street, Electric Railway & Motor Coach Employees v. Wisconsin Employment Relations Board (No. 330), 340 U.S. 416 (1949)","1950 J. Sup. Ct. U.S. 107, 108",""
110,26,"Beatrice Rosenberg","",false,4,"Oct. 15, 1951","United States v. Jeffers (No. 3), 342 U.S. 48 (1951)","1951 J. Sup. Ct. U.S. 36",""
111,33,"Dolly Lee Butler","Los Angeles, CA",false,1,"Oct. 16, 1951","Rochin v. California (No. 83), 342 U.S. 165 (1952)","1951 J. Sup. Ct. U.S. 37",""
112,34,"Carol Weiss King","New York, NY",false,1,"Nov. 26, 1951","Butterfield v. Zydok (No. 136), reported as Carlson v. Landon, 342 U.S. 524 (1952)","1951 J. Sup. Ct. U.S. 66",""
113,26,"Beatrice Rosenberg","",false,5,"Jan. 28, 1952","Von Moltke v. Gillies (No. 78), 343 U.S. 922 (1952)","1951 J. Sup. Ct. U.S. 115",""
114,35,"Doris H. Maier","California Ass't Attorney General",false,1,"Apr. 28, 1952","McGee v. Ekberg (No. 517), 343 U.S. 970 (1952)","1951 J. Sup. Ct. U.S. 190",""
115,27,"Helen Goodner","",false,2,"Oct. 24, 1952","Arrowsmith v. Commissioner (No. 51), 344 U.S. 6( 1952)","1952 J. Sup. Ct. U.S. 50",""
116,25,"Bessie Margolin","",false,9,"Feb. 3, 1953","Alstate Construction Co. v. Durkin (No. 296), 345 U.S. 13 (1953)","1952 J. Sup. Ct. U.S. 139",""
117,26,"Beatrice Rosenberg","",false,6,"May 5, 1953","United States v. Klinger (No. 527), 345 U.S. 979 (1953)","1952 J. Sup. Ct. U.S. 212",""
118,26,"Beatrice Rosenberg","",false,7,"Oct. 19, 1953","United States v Morgan (No. 32), 346 U.S. 502 (1954)","1953 J. Sup. Ct. U.S. 40",""
119,36,"Marietta McGregor Creel","Texas Ass't Attorney General",false,1,"Oct. 21, 1953","Arkansas v. Texas (Orig.), 346 U.S. 368 (1953)","1953 J. Sup. Ct. U.S. 45",""
120,37,"Elizabeth Miller","California Deputy Attorney General",false,1,"Nov. 30, 1953","Irvine v. California (No. 12), 347 U.S. 128 (1954)","1953 J. Sup. Ct. U.S. 82","Added Journal page no. 82"
121,38,"Florence Perlow Shientag","New York, NY",false,1,"Jan. 7, 1954","Commercial Pictures Corp v. Regents, SUNY (No. 274), reported as Superior Films v. Dep't of Education of Ohio, 346 U.S. 587 (1953)","1953 J. Sup. Ct. U.S. 117",""
122,39,"Blanch Freedman","New York, NY",false,1,"Mar. 10, 1954","Barber v. Gonzales (No. 431), 347 U.S. 637 (1954)","1953 J. Sup. Ct. U.S. 163",""
123,30,"Melva M. Graney","",false,3,"Oct. 19-20, 1954","Commissioner v Estate of Sternberger (No. 24), 348 U.S. 187 (1955)","1954 J. Sup. Ct. U.S. 41-42",""
124,26,"Beatrice Rosenberg","",false,8,"Feb.3, 1955","Lewis v. United States (No. 203), 348 U.S. 419 (1955)","1954 J. Sup. Ct. U.S. 125",""
125,25,"Bessie Margolin","",false,10,"Feb. 4,7, 1955","Mitchell v. Joyce Agency, Inc. (No. 230), 348 U.S. 945 (1955)","1954 J. Sup. Ct. U.S. 126,132",""
126,25,"Bessie Margolin","",false,11,"Mar. 30, 1955","Maneja v. Waialua Argicultural Co. (Nos. 357 & 358), 349 U.S. 254 ( 1955)","1954 J. Sup. Ct. U.S. 178-179",""
127,40,"Gloria Agrin","New York, NY",false,1,"Oct. 19, 1955","Nukk v. Shaughnessy (No. 29), 350 U.S. 869 (1955)","1955 J. Sup. Ct. U.S. 49",""
128,39,"Blanch Freedman","",false,2,"Oct. 19, 1955","Nukk v. Shaughnessy (No. 29), 350 U.S. 869 (1955)","1955 J. Sup. Ct. U.S. 49",""
129,26,"Beatrice Rosenberg","",false,9,"Nov. 10, 1955","Rea v. United States (No. 30), 350 U.S. 214 (1956)","1955 J. Sup. Ct. U.S. 69",""
130,25,"Bessie Margolin","",false,12,"Nov. 10, 1955","Mitchell v. Myrtle Grove Packing Co. (No. 44), 350 U.S. 891 (1955)","1955 J. Sup. Ct. U.S. 69",""
131,41,"Marjorie H. Matson","Pittsburgh, PA",false,1,"Nov. 14, 1955","Herman v. Claudy (No. 45), 350 U.S. 116 (1956)","1955 J. Sup. Ct. U.S. 75","aka Marjorie Hanson Matson"
132,25,"Bessie Margolin","",false,13,"Nov. 16, 1955","Steiner v. Mitchell (No. 22), 350 U.S. 247 (1956)","1955 J. Sup. Ct. U.S. 77",""
133,25,"Bessie Margolin","",false,14,"Nov. 16-17, 1955","Mitchell v. King Packing Co. (No. 39), 350 U.S. 260 (1956)","1955 J. Sup. Ct. U.S. 77, 78",""
134,23,"Elizabeth W. Hulen","",false,2,"Feb. 27, 1956","Murdock Acceptance Corp. v. United States (No. 56), 350 U.S. 488 (1956)","1955 J. Sup. Ct. U.S. 155","aka Elizabeth W. Hulen Grayson"
135,25,"Bessie Margolin","",false,15,"Feb. 29-Mar.1, 1956","Mitchell v. Budd (No. 278), 350 U.S. 473 (1956)","1955 J. Sup. Ct. U.S. 160",""
136,26,"Beatrice Rosenberg","",false,10,"Mar. 5, 1956","Hyun v. Landon (No. 201), 350 U.S. 990 (1956)","1955 J. Sup. Ct. U.S. 165",""
137,28,"Beatrice W. Lampert","",false,6,"Apr. 25, 1956","UAAIW v. Wisconsin Employment Relations Board (No. 530), 351 U.S. 266 (1956)","1955 J. Sup. Ct. U.S. 218",""
138,26,"Beatrice Rosenberg","",false,11,"Dec. 11, 1956","Prince v. United States (No. 132), 352 U.S. 322 (1957)","1956 J. Sup. Ct. U.S. 116",""
139,25,"Bessie Margolin","",false,16,"Feb. 26-27, 1957","Mitchell v. Bekins Van & Storage (No. 122), 352 U.S. 1027 (1957)","1956 J. Sup. Ct. U.S. 182, 183",""
140,42,"Pearl M. Hart","Chicago, IL",false,1,"Feb. 28, 1957","United States v. Witkovich (No. 295), 353 U.S. 194 (1957)","1956 J. Sup. Ct. U.S. 184",""
141,26,"Beatrice Rosenberg","",false,12,"Mar. 28, 1957","Curcio v. United States (No. 260), 354 U.S. 118 (1957)","1956 J. Sup. Ct. U.S. 220",""
142,43,"Beverly Tarpley","Abilene, TX",false,1,"Apr. 2, 1957","Thomson v. Texas & Pac. R.R. (No. 321), 353 U.S. 968 (1957)","1956 J. Sup. Ct. U.S. 228",""
