usCite,caseName,dateDecision
"9 U.S. 304","Keene v. United States","1809-03-14"
"9 U.S. 311","United States v. Riddle","1809-03-09"
"9 U.S. 313","Himely v. Rose","1809-03-10"
"9 U.S. 321","Welsh v. Mandeville",""
"9 U.S. 322","Riddle & Co. v. Mandeville","1809-03-13"
"9 U.S. 333","Dulany v. Hodgkin","1809-03-11"
"9 U.S. 335","Yeaton v. Fry","1809-03-13"
"9 U.S. 344","Owings v. Norwood's Lessee","1809-03-14"
"9 U.S. 351","Moss v. Riddle & Co","1809-03-13"
"9 U.S. 358","Brent v. Chapman","1809-03-15"
"9 U.S. 361","Auld v. Norwood","1809-03-14"
"9 U.S. 363","Slacum v. Simms","1809-03-15"
"9 U.S. 368","United States v. Vowell","1809-03-15"
"9 U.S. 372","Sloop Sally v. United States","1809-03-14"
"10 U.S. 3","Scott v. Ben","1810-02-07"
"10 U.S. 8","Field v. Holland","1810-02-12"
"10 U.S. 29","Maryland Ins. Co. v. Woods","1810-02-16"
"10 U.S. 51","Young v. Grundy","1810-02-10"
"10 U.S. 52","Ex Parte Wilson",""
"10 U.S. 53","Oneale v. Thornton","1810-02-15"
"10 U.S. 71","King v. Delaware Ins. Co","1810-02-17"
"10 U.S. 82","Lewis v. Harwood","1810-02-24"
"10 U.S. 86","Riddle & Co. v. Mandeville",""
"10 U.S. 87","Fletcher v. Peck","1810-03-16"
"10 U.S. 148","Massie v. Watts","1810-02-28"
"10 U.S. 171","United States v. Hall","1810-03-03"
"10 U.S. 176","Campbell v. Gordon","1810-02-20"
"10 U.S. 183","McKnight v. Craig's Adminstrator","1810-02-19"
"10 U.S. 187","Kennedy v. Brent","1810-02-28"
"10 U.S. 192","Korn v. Mutual Assurance Soc. Against Fire","1810-03-15"
"10 U.S. 202","Atkinson v. Mutual Assurance Soc. Against Fire","1810-03-17"
"10 U.S. 203","United States v. Ship Helen","1810-03-15"
"10 U.S. 203","Stewart v. Anderson","1810-03-01"
"10 U.S. 206","Marine Ins. Co. of Alexandria v. Hodgson","1810-03-17"
"10 U.S. 221","Slacum v. Pomery","1810-03-05"
"10 U.S. 226","Vasse v. Smith","1810-03-05"
"10 U.S. 233","Custiss v. Georgetown & Alexandria Turnpike Co","1810-03-05"
"10 U.S. 237","Lodge's Lessee v. Lee","1810-03-05"
"10 U.S. 238","Finley v. Lynn","1810-03-06"
"10 U.S. 252","De Butts v. Bacon","1810-03-08"
"10 U.S. 253","Sheehy v. Mandeville","1810-03-16"
"10 U.S. 267","Skillern's Executors v. May's Executors","1810-03-08"
"10 U.S. 268","Chesapeake Ins. Co. v. Stark","1810-03-14"
"10 U.S. 274","Livingston v. Maryland Ins. Co","1810-03-16"
"10 U.S. 281","Hudson v. Guestier","1810-03-17"
"10 U.S. 286","Smith v. Maryland ex rel. Carroll","1810-03-16"
"10 U.S. 307","Durousseau v. United States","1810-03-15"
"10 U.S. 324","Tyler v. Tuel","1810-03-16"
"10 U.S. 327","Schooner Juliana v. United States","1810-03-16"
"10 U.S. 329","Schooner Rachel v. United States","1810-03-15"
"10 U.S. 330","Brigantine Amiable Lucy v. United States","1810-03-16"
"10 U.S. 332","Sere v. Pitot","1810-03-17"
"10 U.S. 338","Maryland Ins. Co. v. Ruden's Administrator","1810-03-17"
"11 U.S. 1","Hudson v. Guestier","1812-02-03"
"11 U.S. 2","Fitzsimmons v. Ogden","1812-02-20"
"11 U.S. 22","Brig James Wells v. United States","1812-02-20"
"11 U.S. 26","Maryland Ins. Co. v. Le Roy","1812-02-22"
"11 U.S. 32","United States v. Hudson","1812-03-14"
"11 U.S. 34","Shirras v. Caig","1812-02-17"
"11 U.S. 52","Schooner Paulina's Cargo v. United States","1812-02-21"
"11 U.S. 69","Russell v. Clark's Executors","1812-03-12"
"11 U.S. 99","Schooner Catherine v. United States","1812-02-13"
"11 U.S. 99","Bingham v. Morris","1812-02-18"
"11 U.S. 100","Sloop Active v. United States","1812-02-26"
"11 U.S. 107","Hawthorne v. United States",""
"11 U.S. 108","United States v. Goodwin","1812-03-10"
"11 U.S. 112","Whelan v. United States","1812-02-20"
"11 U.S. 113","United States v. Brig Eliza","1812-03-05"
"11 U.S. 115","United States v. Crosby","1812-02-24"
"11 U.S. 116","Schooner Exchange v. McFaddon","1812-03-02"
"11 U.S. 147","Freeland v. Heron, Lenox and Co","1812-03-10"
"11 U.S. 152","Welch v. Mandeville","1812-03-05"
"11 U.S. 156","Marsteller v. McClean","1812-03-13"
"11 U.S. 159","Welch v. Lindo","1812-03-09"
"11 U.S. 164","New Jersey v. Wilson","1812-03-03"
"11 U.S. 168","King v. Riddle","1812-03-04"
"11 U.S. 171","Davy's Executors v. Faw","1812-03-09"
"11 U.S. 176","Hughes v. Moore","1812-03-07"
"11 U.S. 194","Barton v. Petit","1812-03-14"
"11 U.S. 202","Wilson v. Koontz","1812-03-10"
"11 U.S. 206","Riddle v. Moss","1812-03-10"
"11 U.S. 208","Sheehy v. Mandeville","1812-03-14"
"11 U.S. 218","Conway's Executors v. Alexander","1812-03-14"
"11 U.S. 242","Dunlop v. Munroe","1812-03-14"
"11 U.S. 271","Wood v. Davis","1812-03-10"
"11 U.S. 273","Morgan v. Reintzel","1812-03-13"
"11 U.S. 276","Wise v. Columbian Turnpike Co","1812-03-14"
"11 U.S. 276","Caldwell v. Jackson","1812-03-13"
"11 U.S. 277","Blackwell v. Patten","1812-03-14"
"11 U.S. 278","Wallen v. Williams","1812-03-13"
"11 U.S. 279","McKim v. Voorhies","1812-03-14"
"11 U.S. 281","Beatty v. Maryland","1812-03-13"
"11 U.S. 285","United States v. Tyler","1812-02-25"
"11 U.S. 287","United States v. Gordon","1813-02-10"
"11 U.S. 288","Barton v. Petit","1813-03-16"
"11 U.S. 290","Queen v. Hepburn","1813-02-12"
"11 U.S. 299","Bank of Columbia v. Patterson's Administrator","1813-02-13"
"11 U.S. 308","Clark's Executors v. Carrington","1813-02-13"
"11 U.S. 327","Dickey v. Baltimore Ins. Co","1813-02-17"
"11 U.S. 332","Marine Ins. Co. of Alexandria v. Hodgson","1813-02-18"
"11 U.S. 339","Locke v. United States","1813-02-19"
"11 U.S. 349","Schooner Good Catharine v. United States","1813-02-20"
"11 U.S. 350","Bond v. Jay","1813-02-22"
"11 U.S. 354","Preston v. Tremble","1813-02-24"
"11 U.S. 356","Brig Penobscot v. United States","1813-02-23"
"11 U.S. 358","Caze v. Baltimore Ins. Co","1813-02-24"
"11 U.S. 363","Schooner Jane v. United States","1813-02-24"
"11 U.S. 366","Lee v. Munroe","1813-02-26"
"11 U.S. 370","Herbert v. Wren","1813-02-26"
"11 U.S. 382","Cargo of Brig Aurora v. United States","1813-02-26"
"11 U.S. 389","Schooner Hoppet v. United States","1813-02-27"
"11 U.S. 396","Mutual Assurance Soc. v. Korn","1813-03-03"
"11 U.S. 399","Webster v. Hoban","1813-03-03"
"11 U.S. 402","Maryland Ins. Co. v. Wood","1813-03-13"
"11 U.S. 408","Ferguson v. Harwood","1813-03-05"
"11 U.S. 415","Blays v. Chesapeake Ins. Co","1813-03-06"
"11 U.S. 420","Stark v. Chesapeake Ins. Co","1813-03-08"
"11 U.S. 423","Williams v. Armroyd","1813-03-08"
"11 U.S. 434","Smith v. Delaware Ins. Co","1813-03-09"
"11 U.S. 436","Holker v. Parker","1813-03-10"
"11 U.S. 456","Barnitz's Lessee v. Casey","1813-03-11"
"11 U.S. 471","Blackwell v. Patton & Erwin's Lessee","1813-03-11"
"11 U.S. 481","Mills v. Duryee","1813-03-11"
"11 U.S. 487","Oliver v. Maryland Ins. Co","1813-03-13"
"11 U.S. 496","Brig Caroline v. United States","1813-03-16"
"11 U.S. 500","Riggs v. Lindsay","1813-03-15"
"11 U.S. 504","McIntire v. Wood","1813-03-15"
"11 U.S. 506","Livingston v. Maryland Ins. Co","1813-03-15"
"11 U.S. 548","Young v. Grundy","1813-03-16"
"11 U.S. 550","Palmer v. Allen","1813-03-16"
"11 U.S. 565","Young v. Black","1813-03-16"
"11 U.S. 570","Schooner Anne v. United States","1813-03-16"
"11 U.S. 572","United States v. January","1813-03-16"
"11 U.S. 575","United States v. Patterson","1813-03-16"
"11 U.S. 577","Livingston v. Dorgenois","1813-03-17"
"11 U.S. 589","Otis v. Bacon","1813-03-17"
"11 U.S. 596","Thornton v. Carson","1813-03-17"
"11 U.S. 602","Wallen v. Williams","1813-03-17"
"11 U.S. 603","Fairfax's Devisee v. Hunter's Lessee","1813-03-15"
"12 U.S. 9","Griffith v. Frazier","1814-02-15"
"12 U.S. 30","Van Ness v. Forrest","1814-02-15"
"12 U.S. 36","Bank of Alexandria v. Herbert","1814-02-16"
"12 U.S. 39","Marcardier v. Chesapeake Ins. Co","1814-02-17"
"12 U.S. 50","Hall v. Leigh","1814-02-18"
"12 U.S. 53","Common Council of Alexandria v. Preston","1814-02-19"
"12 U.S. 55","Pleasants v. Maryland Ins. Co","1814-02-21"
"12 U.S. 59","McCall v. Marine Ins. Co","1814-02-21"
"12 U.S. 66","Smith v. Edrington","1814-02-23"
"12 U.S. 70","Beale v. Thompson","1814-02-23"
"12 U.S. 72","Clementson v. Williams","1814-02-19"
"12 U.S. 75","Gracie v. Marine Ins. Co. of Baltimore","1814-02-19"
"12 U.S. 84","Gracie v. Maryland Ins. Co","1814-02-19"
"12 U.S. 84","Richards v. Maryland Ins. Co","1814-02-25"
"12 U.S. 94","Crowell v. McFadon","1814-02-28"
"12 U.S. 98","Beatty's Administrators v. Burnes's Administrators","1814-03-01"
"12 U.S. 109","Harford v. United States","1814-03-01"
"12 U.S. 110","Brown v. United States","1814-03-02"
"12 U.S. 155","The Rapid","1814-03-07"
"12 U.S. 169","The Alexander","1814-03-07"
"12 U.S. 181","The Julia","1814-03-07"
"12 U.S. 203","The Aurora","1814-03-07"
"12 U.S. 221","The Adventure","1814-03-07"
"12 U.S. 229","Green v. Liter","1814-03-11"
"12 U.S. 251","Carter's Heirs v. Cutting","1814-03-11"
"12 U.S. 253","The Venus","1814-03-12"
"12 U.S. 317","The Merrimack","1814-03-12"
"12 U.S. 335","The Frances","1814-03-12"
"12 U.S. 348","The Frances","1814-03-12"
"12 U.S. 354","The Frances","1814-03-12"
"12 U.S. 358","The Frances","1814-03-12"
"12 U.S. 359","The Frances","1814-03-15"
"12 U.S. 363","The Frances","1814-03-12"
"12 U.S. 371","Vowles v. Craig","1814-03-14"
"12 U.S. 382","The Sally","1814-03-15"
"12 U.S. 385","The Euphrates","1814-03-15"
"12 U.S. 388","The Mary","1814-03-15"
"12 U.S. 398","United States v. 1960 Bags of Coffee","1814-03-15"
"12 U.S. 417","United States v. Brigantine Mars","1814-03-15"
"12 U.S. 418","The Frances","1814-03-15"
"12 U.S. 421","The Thomas Gibbons","1814-03-16"
"12 U.S. 431","Prince v. Bartlett","1814-03-16"
"12 U.S. 434","The St. Lawrence","1814-03-16"
"12 U.S. 444","The Hiram","1814-03-16"
"12 U.S. 451","The Joseph","1814-03-16"
"12 U.S. 456","The Grotius","1814-03-16"
"12 U.S. 462","Alexander v. Pendleton","1814-03-09"
"12 U.S. 471","Pratt v. Carroll","1814-03-08"
"13 U.S. 9","Mandeville v. Union Bank of Georgetown","1815-02-09"
"13 U.S. 11","Meigs v. McClung's Lessee","1815-02-13"
"13 U.S. 19","Simms v. Guthrie","1815-02-14"
"13 U.S. 28","Speak v. United States","1815-02-16"
"13 U.S. 39","Taber v. Perrott","1815-02-15"
"13 U.S. 43","Terrett v. Taylor","1815-02-17"
"13 U.S. 55","Brig Short Staple v. United States","1815-02-17"
"13 U.S. 64","Parker v. Rule's Lessee","1815-02-18"
"13 U.S. 71","Brig Struggle v. United States","1815-02-18"
"13 U.S. 76","Randolph v. Donaldson","1815-02-21"
"13 U.S. 87","Polk's Lessee v. Wendal","1815-02-21"
"13 U.S. 102","Ship Richmond v. United States","1815-02-22"
"13 U.S. 104","Arnold v. United States","1815-02-23"
"13 U.S. 120","The St. Lawrence","1815-02-25"
"13 U.S. 122","Drummond's Admin. v. Magruder & Co. Trustees","1815-02-25"
"13 U.S. 126","The Mary","1815-02-25"
"13 U.S. 151","Doe v. McFarland","1815-02-27"
"13 U.S. 153","Clark's Executors v. Van Riemsdyk","1815-02-28"
"13 U.S. 164","Finley v. Williams","1815-02-28"
"13 U.S. 173","McIver's Lessee v. Walker","1815-03-01"
"13 U.S. 180","Owens v. Hanney","1815-03-01"
"13 U.S. 181","United States v. Cargo of Ship Fanny","1815-03-01"
"13 U.S. 183","The Frances","1815-03-02"
"13 U.S. 191","Thirty Hogsheads of Sugar v. Boyle","1815-03-04"
"13 U.S. 199","Evans v. Jordan","1815-03-04"
"13 U.S. 205","Cargo of Ship Hazard v. Campbell","1815-03-06"
"13 U.S. 209","Ship Societe","1815-03-06"
"13 U.S. 212","United States v. Giles","1815-03-07"
"13 U.S. 243","United States v. Barber","1815-03-07"
"13 U.S. 244","The Schooner Adeline","1815-03-10"
"13 U.S. 289","The Brig Ann","1815-03-10"
"13 U.S. 292","Town of Pawlet v. Clark","1815-03-10"
"13 U.S. 339","Otis v. Watkins","1815-03-10"
"13 U.S. 359","Brig Alerta v. Moran","1815-03-10"
"13 U.S. 368","The Grotius","1815-03-10"
"13 U.S. 372","Gettings v. Burch's Administratix","1815-03-10"
"13 U.S. 374","United States v. Bryan","1815-03-11"
"13 U.S. 387","The Brig Concord","1815-03-11"
"13 U.S. 388","The Nereide","1815-03-11"
"13 U.S. 456","Pratt v. Law","1815-03-11"
