nid,id,name,dateStart,dateStop
86,"HHBurton","Burton, Harold","10/01/1945","10/13/1958"
87,"FMVinson","Vinson, Fred","06/24/1946","09/08/1953"
88,"TCClark","Clark, Tom","08/24/1949","06/12/1967"
89,"SMinton","Minton, Sherman","10/12/1949","10/15/1956"
90,"EWarren","Warren, Earl","10/05/1953","06/23/1969"
91,"JHarlan2","Harlan, John","03/28/1955","09/23/1971"
92,"WJBrennan","Brennan, William","10/16/1956","07/20/1990"
93,"CEWhittaker","Whittaker, Charles","03/25/1957","03/31/1962"
94,"PStewart","Stewart, Potter","10/14/1958","07/03/1981"
95,"BRWhite","White, Byron","04/16/1962","06/28/1993"
96,"AJGoldberg","Goldberg, Arthur","10/01/1962","07/25/1965"
97,"AFortas","Fortas, Abe","10/04/1965","05/14/1969"
98,"TMarshall","Marshall, Thurgood","10/02/1967","10/01/1991"
99,"WEBurger","Burger, Warren","06/23/1969","09/26/1986"
100,"HABlackmun","Blackmun, Harry","06/09/1970","08/03/1994"
101,"LFPowell","Powell, Lewis","01/07/1972","06/26/1987"
102,"WHRehnquist","Rehnquist, William","01/07/1972","09/03/2005"
103,"JPStevens","Stevens, John","12/19/1975","06/29/2010"
104,"SDOConnor","O'Connor, Sandra","09/25/1981","01/31/2006"
105,"AScalia","Scalia, Antonin","09/26/1986","02/13/2016"
106,"AMKennedy","Kennedy, Anthony","02/18/1988","07/31/2018"
107,"DHSouter","Souter, David","10/09/1990","06/29/2009"
108,"CThomas","Thomas, Clarence","10/23/1991","00/00/0000"
109,"RBGinsburg","Ginsburg, Ruth","08/10/1993","09/18/2020"
110,"SGBreyer","Breyer, Stephen","08/03/1994","00/00/0000"
111,"JGRoberts","Roberts, John","09/29/2005","00/00/0000"
112,"SAAlito","Alito, Samuel","01/31/2006","00/00/0000"
113,"SSotomayor","Sotomayor, Sonia","08/08/2009","00/00/0000"
114,"EKagan","Kagan, Elena","08/07/2010","00/00/0000"
115,"NMGorsuch","Gorsuch, Neil","04/08/2017","00/00/0000"
116,"BMKavanaugh","Kavanaugh, Brett","10/06/2018","00/00/0000"
117,"ACBarrett","Barrett, Amy","10/27/2020","00/00/0000"
