naturalCourt,name,dateStart,dateStop
1404,"Warren 4","October 16, 1956","February 25, 1957"
1405,"Warren 5","February 26, 1957","October 13, 1958"
1406,"Warren 6","October 14, 1958","March 31, 1962"
1407,"Warren 7","April 1, 1962","September 30, 1962"
1408,"Warren 8","October 01, 1962","October 03, 1965"
1409,"Warren 9","October 04, 1965","October 01, 1967"
1410,"Warren 10","October 02, 1967","May 13, 1969"
1411,"Warren 11","May 14, 1969","June 23, 1969"
1501,"Burger 1","June 24, 1969","June 08, 1970"
1502,"Burger 2","June 09, 1970","September 22, 1971"
1503,"Burger 3","September 23, 1971","January 06, 1972"
1504,"Burger 4","January 07, 1972","November 12, 1975"
1505,"Burger 5","November 13, 1975","December 18, 1975"
1506,"Burger 6","December 19, 1975","September 24, 1981"
1507,"Burger 7","September 25, 1981","September 25, 1986"
1601,"Rehnquist 1","September 26, 1986","June 26, 1987"
1602,"Rehnquist 2","June 27, 1987","February 17, 1988"
1603,"Rehnquist 3","February 18, 1988","September 30, 1990"
1604,"Rehnquist 4","October 01, 1990","October 06, 1991"
1605,"Rehnquist 5","October 07, 1991","August 09, 1993"
1606,"Rehnquist 6","August 10, 1993","August 02, 1994"
1607,"Rehnquist 7","August 03, 1994","September 28, 2005"
1701,"Roberts 1","September 29, 2005","January 30, 2006"
1702,"Roberts 2","January 31, 2006","August 08, 2009"
1703,"Roberts 3","August 09, 2009","August 06, 2010"
1704,"Roberts 4","August 07, 2010","February 13, 2016"
1705,"Roberts 5","February 14, 2016","April 09, 2017"
1706,"Roberts 6","April 10, 2017","October 05, 2018"
1707,"Roberts 7","October 06, 2018","September 18, 2020"
1708,"Roberts 8","September 19, 2020","October 26, 2020"
1709,"Roberts 9","October 27, 2020",""
