nameAdvocate,homeAdvocate,dateArgument,caseInfo,citeInfo,role,transcriptURL,notes
Mabel Walker Willebrandt,Ass't Attorney General,1921-12-15,"Corneli v. Moore (No. 175), 257 U.S. 491 (1922)",1920 J. Sup. Ct. U.S. 107,,,
Mabel Walker Willebrandt,,1922-11-29,"Brooks v. United States (No. 197), United States v. Remus (No. 403), and United States v. Stafoff (No. 26), 260 U.S. 477 (1923)",1922 J. Sup. Ct. U.S. 104,,,
Mabel Walker Willebrandt,,1923-01-05,"Int'l Mercantile Marine Co. v. Stuart (No. 693) and United American Lines v. Stuart, reported as Cunard v. Mellon, 262 U.S. 100 (1923)",1922 J. Sup. Ct. U.S. 134,,,
Florence King,"Chicago, IL","1923-01-17,1923-01-18","Crown Die & Tool Co. v. Nye Tool & Machine Works (No. 240), 261 U.S. 24 (1923)",1922 J. Sup. Ct. U.S. 154-155,,,
Helen Z. M. Rodgers,,1923-04-27,"Taggarts v. New York (No. 96), 262 U.S. 731 (1923)",1922 J. Sup. Ct. U.S. 269,,,Changed Helene to Helen
Mabel Walker Willebrandt,,1924-01-25,"Lynch v. Tilden Produce Co. (No. 139), 265 U.S. 315 (1924)",1923 J. Sup. Ct. U.S. 148,,,
Mabel Walker Willebrandt,,1924-03-10,"Gnerich (B&S) v. Rutter (No. 79), 265 U.S. 388 (1924)",1923 J. Sup. Ct. U.S. 194,,,
Mabel Walker Willebrandt,,1924-04-16,"Kennedy v. United States (No. 222), 264 U.S. 344 (1924)",1923 J. Sup. Ct. U.S. 228,,,
Regene Freund Cohane,"Detroit, MI",1924-12-12,"Ebert v. Poston (No. 153), 266 U.S. 548 (1925)",1924 J. Sup. Ct. U.S. 110,,,
Susan Brandeis,"New York, NY",1925-10-05,"Margolin v. United States (No. 254), 269 U.S. 93 (1925)",1925 J. Sup. Ct. U.S. 28,,,
Mabel Walker Willebrandt,,1925-12-09,"Port Gardner Investment Co. v. United States (No. 611), 272 U.S. 564 (1926)",1925 J. Sup. Ct. U.S. 114,,,
Mabel Walker Willebrandt,,1926-03-03,"United States v. Zerbey (No. 790) and Lederer v. McGarvey (No. 120), 271 U.S. 342 (1926)",1925 J. Sup. Ct. U.S. 199,,,
Mabel Walker Willebrandt,,1926-03-10,"Edwards v. Chile Copper Co. (No. 375), 270 U.S. 452 (1926)",1925 J. Sup. Ct. U.S. 212,,,
Mabel Walker Willebrandt,,1926-03-11,"United States v. Katz (Nos. 726 & 727), 271 U.S. 354 (1926)",1925 J. Sup. Ct. U.S. 213,,,
Mabel Walker Willebrandt,,1926-04-30,"Lambert v. Yellowley (No. 301), 272 U.S. 581 (1926)",1925 J. Sup. Ct. U.S. 281,,,
Grace E. Smith,Oregon Ass't Attorney General,1926-10-12,"Moore v. Fidelity & Deposit (No. 185), 272 U.S. 317 (1926)",1926 J. Sup. Ct. U.S. 49,,,
Mabel Walker Willebrandt,,1926-10-27,"Dodge v. United States (No. 341), 272 U.S. 530 (1926)",1926 J. Sup. Ct. U.S. 75,,,
Mabel Walker Willebrandt,,1927-01-18,"Hellmich v. Missouri Pacific R.R. Co. (No. 507), 273 U.S. 242 (1927)",1926 J. Sup. Ct. U.S. 175,,,
Mabel Walker Willebrandt,,1927-01-20,"Maul v. United States (No. 655), 274 U.S. 501 (1927)",1926 J. Sup. Ct. U.S. 177,,,
Mabel Walker Willebrandt,,1927-04-25,"Phillips v. Int'l Salt Co. (No. 297), 274 U.S. 718 (1927)",1926 J. Sup. Ct. U.S. 300,,,
Mabel Walker Willebrandt,,1927-04-27,"United States v. Sullivan (No. 851), 274 U.S. 259 (1927)",1926 J. Sup. Ct. U.S. 302,,,
Mabel Walker Willebrandt,,1927-10-12,"Marron v. United States (No. 185), 275 U.S. 192 (1927)",1927 J. Sup. Ct. U.S. 52,,,
Mabel Walker Willebrandt,,"1927-10-12,1927-10-13","Gambino v. United States (No. 226), 275 U.S. 310 (1927)",1927 J. Sup. Ct. U.S. 52-53,,,
Mabel Walker Willebrandt,,1927-10-21,"Grosfield v. United States (No. 62), 276 U.S. 294 (1928)",1927 J. Sup. Ct. U.S. 70,,,
Mabel Walker Willebrandt,,1927-11-22,"Donnelley v. United States (No. 110), 276 U.S. 505 (1928)",1927 J. Sup. Ct. U.S. 118,,,
Mabel Walker Willebrandt,,1927-11-23,"United States v. Murray (No. 394), 275 U.S. 347 (1928)",1927 J. Sup. Ct. U.S. 119,,,
Mabel Walker Willebrandt,,1928-01-04,"Hellmich v. Isadore Hellman (No. 299) and Hellmich v. Milton Hellman (No. 300), 276 U.S. 233 (1928)",1927 J. Sup. Ct. U.S. 159,,,
Mabel Walker Willebrandt,,1928-01-19,"Donnelley v. United States (No. 110), 276 U.S. 505 (1928)",1927 J. Sup. Ct. U.S. 180,,,
Mabel Walker Willebrandt,,1928-03-13,"United States v. John Barth Co. (No. 610), 276 U.S. 606 (1928)",1927 J. Sup. Ct. U.S. 244,,,
Mabel Walker Willebrandt,,1928-04-17,"Reinecke v. Gardner, No. 471), 277 U.S. 239 (1928)",1927 J. Sup. Ct. U.S. 284,,,
Mabel Walker Willebrandt,,1928-04-26,"Taft v. Bowers(No. 554) and Greenway v. Bowers (No. 575), 278 U.S. 470 (1929)",1927 J. Sup. Ct. U.S. 299,,,
Olive H. Rabe,"Chicago, IL",1929-04-12,"United States v Schwimmer (No. 484), 279 U.S. 644 (1929)",1928 J. Sup. Ct. U.S. 247,,,
Mabel Walker Willebrandt,,1929-04-12,"Lucas v. Alexander (No. 481), 279 U.S. 573 (1929)",1928 J. Sup. Ct. U.S. 247,,,
Mabel Walker Willebrandt,,1929-04-18,"United States v. John Barth Co. (No. 526), 279 U.S. 370 (1929)",1928 J. Sup. Ct. U.S. 260,,,
Emily Marx,"New York, NY","1931-04-27,1931-04-28","United States v Bland (No. 505), 283 U.S. 636 (1931)",1930 J. Sup. Ct. U.S. 304-305,,,
Elizabeth Robinson,"New York, NY","1932-02-16,1932-02-17","Alexander v. Spencer Kellogg & Sons Inc. (No. 444) reported as Spencer Kellogg & Sons, Inc. v. Hicks (No. 430), 285 U.S. 502 (1932)",1931 J. Sup. Ct. U.S. 203-204,,,
Alice E. Alexander,Michigan Ass't Attorney General,1932-11-11,"Detroit Int'l Bridge Co. v. Michigan Corporation Tax Appeal Board (No. 51), 287 U.S. 295 (1932)",1932 J. Sup. Ct. U.S. 66,,,
Mabel Walker Willebrandt,,1933-04-11,"Federal Radio Comm'n v. Nelson Bros. (No. 657), Federal Radio Comm'n v. North Star Church (Nos. 658 & 660), and Federal Radio Comm'n v. Nelson Bros. (No. 659), 289 U.S. 266 (1933)",1932 J. Sup. Ct. U.S. 188,,,
Alice E. Alexander,,1934-12-14,"Detroit Int'l Bridge Co. v. Michigan (No. 272), 294 U.S. 83 (1935)",1934 J. Sup. Ct. U.S. 96,,,
Helen R. Carloss,"Attorney, U.S. Dep't of Justice",1938-04-28,"Lang v. Commissioner (No. 919), 304 U.S. 264 (1938)",1937 J. Sup. Ct. U.S. 242,,,
Hester W. Webb,California Ass't Attorney General,1938-10-18,"Neblett v. Carpenter (No. 21), 305 U.S. 297 (1938)",1938 J. Sup. Ct. U.S.40,,,
Helen R. Carloss,,1939-03-10,"Helvering v. Metropolitan Edison Co. (Nos. 486 & 487), 306 U.S. 522 (1939)",1938 J. Sup. Ct. U.S. 174,,,
Helen R. Carloss,,1939-10-19,"Sanford's Estate v. Commissioner (No. 34), 308 U.S. 39 (1939)",1939 J. Sup. Ct. U.S.43,,,
Helen R. Carloss,,1939-10-19,"Rasquin v. Humphreys (No. 37), 308 U.S. 54 (1939)",1939 J. Sup. Ct. U.S. 43,,,
Helen R. Carloss,,1939-12-15,"Haggar Co. v. Helvering (No. 176), 308 U.S. 389 (1939)",1939 J. Sup. Ct. U.S. 100,,,
Helen R. Carloss,,1940-01-05,"Real Estate-Land Title & Trust v. United States (No. 229), 309 U.S. 13 (1940)",1939 J. Sup. Ct. U.S. 113,,,
M. Louise Rutherford,Pennsylvania Deputy Attorney General,1940-12-10,"Hines v. Davidowitz (No. 22), 312 U.S. 52 (1941)",1940 J. Sup. Ct. U.S. 83,,,
Helen R. Carloss,,1940-12-12,"McClain v. Commissioner (No. 55), 311 U.S. 527 (1941)",1940 J. Sup. Ct. U.S. 85,,,
Helen R. Carloss,,1940-12-12,"Helvering v. Thomson (No. 58), 311 U.S. 527 (1941)",1940 J. Sup. Ct. U.S. 85,,,
Anne X. Alpern,"City Solicitor, Pittsburgh, PA",1941-01-09,"Philadelphia Co. v. Dipple (No. 242), 312 U.S. 168 (1941)",1940 J. Sup. Ct. U.S. 108,,,
Helen R. Carloss,,1941-03-05,"Maguire v. Commissioner (No. 346), 313 U.S. 1 (1941)",1940 J. Sup. Ct. U.S. 163,,,
Helen R. Carloss,,1941-03-06,"Helvering v. Gambrill (Nos. 472-475), 313 U.S. 11 (1941)",1940 J. Sup. Ct. U.S. 163,,,
Helen R. Carloss,,1942-12-08,"Harrison v. Northern Trust Co. (No. 103), 317 U.S. 476 (1943).",1942 J. Sup. Ct. U.S. 79,,,
Corinne L. Rice,"Chicago, IL",1943-01-13,"Mandeville v. Canterbury (No. 422), 318 U.S. 47 (1943)",1942 J. Sup. Ct. U.S. 126,,,
Helen R. Carloss,,1943-11-12,"Commissioner v. Gooch Milling & Elevator (No. 53), 320 U.S. 418 (1943)",1943 J. Sup. Ct. U.S. 54,,,
Elizabeth W. Hulen,"Jackson, MS",1943-12-17,"Walton v. Southern Package (No. 159), 320 U.S. 540 (1944)",1943 J. Sup. Ct. U.S. 88,,,aka Elizabeth Watkins Hulen
Anne X. Alpern,,1944-03-01,"United States v. Allegheny County (No. 417), 322 U.S. 174 (1944)",1943 J. Sup. Ct. U.S. 149,,,
Ruth Weyand,"Attorney, National Labor Relations Board",1944-03-02,"Medo Photo v. NLRB (No. 265), 321 U.S. 678 (1944)",1943 J. Sup. Ct. U.S. 150,,,
Helen R. Carloss,,1944-03-07,"Douglas v. Commissioner (No. 130), 322 U.S. 275 (1944)",1943 J. Sup. Ct. U.S. 159,,,
Helen R. Carloss,,1944-11-16,"United States v. Standard Rice Co. (No. 72), 323 U.S. 106 (1944)",1944 J. Sup. Ct. U.S. 73,,,
Helen R. Carloss,,1944-12-13,"Webre Steib Co. v. Commissioner (No. 148), 324 U.S. 164 (1945)",1944 J. Sup. Ct. U.S. 97,,,
Helen R. Carloss,,1945-01-09,"Merrill v. Fahs (No. 126), 324 U.S. 308 (1945)",1944 J. Sup. Ct. U.S. 135,,,
Helen R. Carloss,,1945-01-09,"Commissioner v. Wemyss (No. 629), 324 U.S. 303 (1945)",1944 J. Sup. Ct. U.S. 135,,,
Ruth Weyand,,1945-01-10,"Republic Aviation Corp v. National Labor Relations Board (No. 226), 324 U.S. 793 (1945)",1944 J. Sup. Ct. U.S. 137,,,
Ruth Weyand,,1945-01-10,"National Labor Relations Board v. LeTourneau Co. (No. 452), 324 U.S. 793 (1945)",1944 J. Sup. Ct. U.S. 138,,,
Helen R. Carloss,,1945-02-02,"Putnam v. Commissioner (No. 534), 324 U.S. 393 (1945)",1944 J. Sup. Ct. U.S. 154,,,
Bessie Margolin,Assistant Solicitor of Labor,1945-03-02,"A.H. Phillips v. Walling (No. 608), 324 U.S. 490 (1945)",1944 J. Sup. Ct. U.S. 181,,,
Helen R. Carloss,,1945-03-29,"Commissioner v. Bedford (No. 710), 325 U.S. 283 (1945)",1944 J. Sup. Ct. U.S. 206,,,
Bessie Margolin,,1945-04-06,"Borden v. Borella (No. 688), 325 U.S. 679 (1945)",1944 J. Sup. Ct. U.S. 216,,,
Bessie Margolin,,1945-04-06,"10 East 40th St. Bldg v. Callus (No. 820), 325 U.S. 679 (1945)",1944 J. Sup. Ct. U.S. 216,,,
Bessie Margolin,,1945-10-08,"Roland Electrical Co. v Walling (No. 45), 327 U.S. 463 (1946)",1945 J. Sup. Ct. U.S. 29,,,
Bessie Margolin,,1945-10-09,"Boutell v. Walling (No. 73), 327 U.S. 463 (1946)",1945 J. Sup. Ct. U.S. 30,,,
Ruth Weyand,,1945-10-12,"May Dep't Stores v. National Labor Relations Board (No. 39), 326 U.S. 376 (1945)",1945 J. Sup. Ct. U.S. 34,,,
Helen R. Carloss,,1945-11-06,"Kirby Petroleum Co. v. Commissioner (No. 56), 326 U.S. 599 (1946)",1945 J. Sup. Ct. U.S. 58,,,
Helen R. Carloss,,"1945-11-06,1945-11-07","Commissioner v. Crawford (No. 197), 326 U.S. 599 (1946)",1945 J. Sup. Ct. U.S. 58-59,,,
Ruth Weyand,,"1946-01-09,1946-01-10","National Labor Relations Board v Cheney California Lumber (No. 319), 327 U.S. 385 (1946)",1945 J. Sup. Ct. U.S. 117-118,,,
Beatrice Rosenberg,"Attorney, U.S. Dep't of Justice",1946-10-15,"Ballard v. United States (No. 36), 329 U.S. 187 (1946)",1946 J. Sup. Ct. U.S. 36,,,
Ruth Weyand,,1946-10-16,"NLRB v. Donnelly Garment Co. (Nos. 38 & 39), 330 U.S. 219 (1947)",1946 J. Sup. Ct. U.S. 37,,,
Ruth Weyand,,"1947-03-07,1947-03-08","NLRB v. Jones & Laughlin (Nos. 418 & 419), 331 U.S. 416 (1947)","1946 J. Sup. Ct. U.S. 179, 187",,,
Bessie Margolin,,"1947-04-09,1947-04-10","Rutherford Food v. Walling (No. 562), 331 U.S. 722 (1947)","1946 J. Sup. Ct. U.S. 218, 219",,,
Beatrice Rosenberg,,1947-10-23,"Blumenthal v. United States (Nos. 54-57), 332 U.S. 539 (1947)",1947 J. Sup. Ct. U.S. 47,,,
Helen Goodner,Special Ass't to U.S. Attorney General,1947-12-10,"Massachusetts v. United States (No. 157), 333 U.S. 611 (1948)",1947 J. Sup. Ct. U.S. 94,,,
Beatrice Rosenberg,,1948-01-09,"Fong Haw Tan v. Phelan (No. 370), 333 U.S. 6 (1948)",1947 J. Sup. Ct. U.S. 118,,,
Beatrice W. Lampert,Wisconsin Ass't Attorney General,1948-11-18,"Int'l Union, UAW v. Wisconsin Employment Relations Board (Nos. 14 & 15), 336 U.S. 245 (1949)",1948 J. Sup. Ct. U.S. 64,,,aka Beatrice Walker Lampert
Beatrice W. Lampert,,1947-11-18,"Algoma Plywood & Veneer Co. v. Wisconsin Employment Relations Board (No. 216), 336 U.S. 301 (1949)",1948 J. Sup. Ct. U.S. 64,,,
Beatrice W. Lampert,,1947-11-19,"LaCrosse Telephone Corp. v. Wisconsin Employment Relations Board (Nos. 38 & 39), 336 U.S. 18 (1949)",1948 J. Sup. Ct. U.S. 65,,,
Anne R. Davidow,"Detroit, MI",1947-11-19,"Goesaert v. Cleary (No. 49), 335 U.S. 464 (1948)",1948 J. Sup. Ct. U.S. 65,,,
Melva M. Graney,"Attorney, U.S. Dep't of Justice",1948-12-13,"Commissioner v. Wodehouse (Nos. 84 & 88), 337 U.S. 369 (1948)",1948 J. Sup. Ct. U.S. 83,,,Added Journal page no. 83
Bessie Margolin,,"1948-12-14,1948-12-15","McComb v. Jacksonville Paper Co. (No. 110), 336 U.S. 187 (1949)","1948 J. Sup. Ct. U.S. 90, 91",,,
Mary Frances Brown,"Clarksburg, WV","1949-02-09,1949-02-10","City of Morgantown v. Royal Insurance Co. (No. 396), 337 U.S. 254 (1948)","1948 J. Sup. Ct. U.S. 144, 145",,,
Patricia H. Collins,"Attorney, U.S. Dep't of Justice",1949-04-19,"Johnson v. Shaughnessy (No. 506), 336 U.S. 806 (1949)",1948 J. Sup. Ct. U.S. 194,,,
Ruth Weyand,,1949-11-17,"Colgate-Palmolive v. NLRB (No. 47), 338 U.S. 355 (1949)",1949 J. Sup. Ct. U.S. 76,,,
Bessie Margolin,,"1949-12-08,1949-12-09","Powell v. United States Cartridge Co. (No. 96); Aaron v. Ford, Bacon & Davis, Inc. (No. 79); Creel v. Lone Star Defense Corp. (No. 58), 339 U.S. 497 (1950)",1949 J. Sup. Ct. U.S. 93-94,,,
Melva M. Graney,,"1949-12-13,1949-12-14","Bryan v. United States (No. 178), 338 U.S. 552 (1950)","1949 J. Sup. Ct. U.S. 100, 101",,,
Anne X. Alpern,,1950-01-12,"District of Columbia v. Little (No. 302), 339 U.S. 1 (1950)",1949 J. Sup. Ct. U.S. 118,,,
Beatrice W. Lampert,,1950-02-10,"Plankington Packing Co. v. Wisconsin Employment Relations Board (No. 419),",1949 J. Sup. Ct. U.S. 136,,,
Beatrice W. Lampert,,"1951-01-09,1951-01-10","Amalgamated Association of Street, Electric Railway & Motor Coach Employees v. Wisconsin Employment Relations Board (Nos. 329 & 438) 340 U.S. 383 (1951); St. John v. Wisconsin Employment Relations Board (No. 302), 340 U.S. 411 (1951); and Amalgamated Association of Street, Electric Railway & Motor Coach Employees v. Wisconsin Employment Relations Board (No. 330), 340 U.S. 416 (1949)","1950 J. Sup. Ct. U.S. 107, 108",,,
Beatrice Rosenberg,,1951-10-15,"United States v. Jeffers (No. 3), 342 U.S. 48 (1951)",1951 J. Sup. Ct. U.S. 36,,,
Dolly Lee Butler,"Los Angeles, CA",1951-10-16,"Rochin v. California (No. 83), 342 U.S. 165 (1952)",1951 J. Sup. Ct. U.S. 37,,,
Carol Weiss King,"New York, NY",1951-11-26,"Butterfield v. Zydok (No. 136), reported as Carlson v. Landon, 342 U.S. 524 (1952)",1951 J. Sup. Ct. U.S. 66,,,
Beatrice Rosenberg,,1952-01-28,"Von Moltke v. Gillies (No. 78), 343 U.S. 922 (1952)",1951 J. Sup. Ct. U.S. 115,,,
Doris H. Maier,California Ass't Attorney General,1952-04-28,"McGee v. Ekberg (No. 517), 343 U.S. 970 (1952)",1951 J. Sup. Ct. U.S. 190,,,
Helen Goodner,,1952-10-24,"Arrowsmith v. Commissioner (No. 51), 344 U.S. 6( 1952)",1952 J. Sup. Ct. U.S. 50,,,
Bessie Margolin,,1953-02-03,"Alstate Construction Co. v. Durkin (No. 296), 345 U.S. 13 (1953)",1952 J. Sup. Ct. U.S. 139,,,
Beatrice Rosenberg,,1953-05-05,"United States v. Klinger (No. 527), 345 U.S. 979 (1953)",1952 J. Sup. Ct. U.S. 212,,,
Beatrice Rosenberg,,1953-10-19,"United States v Morgan (No. 32), 346 U.S. 502 (1954)",1953 J. Sup. Ct. U.S. 40,,,
Marietta McGregor Creel,Texas Ass't Attorney General,1953-10-21,"Arkansas v. Texas (Orig.), 346 U.S. 368 (1953)",1953 J. Sup. Ct. U.S. 45,,,
Elizabeth Miller,California Deputy Attorney General,1953-11-30,"Irvine v. California (No. 12), 347 U.S. 128 (1954)",1953 J. Sup. Ct. U.S. 82,,,Added Journal page no. 82
Florence Perlow Shientag,"New York, NY",1954-01-07,"Commercial Pictures Corp v. Regents, SUNY (No. 274), reported as Superior Films v. Dep't of Education of Ohio, 346 U.S. 587 (1953)",1953 J. Sup. Ct. U.S. 117,,,
Blanch Freedman,"New York, NY",1954-03-10,"Barber v. Gonzales (No. 431), 347 U.S. 637 (1954)",1953 J. Sup. Ct. U.S. 163,,,
Melva M. Graney,,"1954-10-19,1954-10-20","Commissioner v Estate of Sternberger (No. 24), 348 U.S. 187 (1955)",1954 J. Sup. Ct. U.S. 41-42,,,
Beatrice Rosenberg,,1955-02-03,"Lewis v. United States (No. 203), 348 U.S. 419 (1955)",1954 J. Sup. Ct. U.S. 125,,,
Bessie Margolin,,"1955-02-04,1955-02-07","Mitchell v. Joyce Agency, Inc. (No. 230), 348 U.S. 945 (1955)","1954 J. Sup. Ct. U.S. 126,132",,,
Bessie Margolin,,1955-03-30,"Maneja v. Waialua Argicultural Co. (Nos. 357 & 358), 349 U.S. 254 ( 1955)",1954 J. Sup. Ct. U.S. 178-179,,,
Gloria Agrin,"New York, NY",1955-10-19,"Nukk v. Shaughnessy (No. 29), 350 U.S. 869 (1955)",1955 J. Sup. Ct. U.S. 49,,,
Blanch Freedman,,1955-10-19,"Nukk v. Shaughnessy (No. 29), 350 U.S. 869 (1955)",1955 J. Sup. Ct. U.S. 49,,,
Beatrice Rosenberg,,1955-11-10,"Rea v. United States (No. 30), 350 U.S. 214 (1956)",1955 J. Sup. Ct. U.S. 69,,,
Bessie Margolin,,1955-11-10,"Mitchell v. Myrtle Grove Packing Co. (No. 44), 350 U.S. 891 (1955)",1955 J. Sup. Ct. U.S. 69,,,
Marjorie H. Matson,"Pittsburgh, PA",1955-11-14,"Herman v. Claudy (No. 45), 350 U.S. 116 (1956)",1955 J. Sup. Ct. U.S. 75,,,aka Marjorie Hanson Matson
Bessie Margolin,,1955-11-16,"Steiner v. Mitchell (No. 22), 350 U.S. 247 (1956)",1955 J. Sup. Ct. U.S. 77,,,
Bessie Margolin,,"1955-11-16,1955-11-17","Mitchell v. King Packing Co. (No. 39), 350 U.S. 260 (1956)","1955 J. Sup. Ct. U.S. 77, 78",,,
Elizabeth W. Hulen,,1956-02-27,"Murdock Acceptance Corp. v. United States (No. 56), 350 U.S. 488 (1956)",1955 J. Sup. Ct. U.S. 155,,,aka Elizabeth W. Hulen Grayson
Bessie Margolin,,"1956-02-29,1956-03-01","Mitchell v. Budd (No. 278), 350 U.S. 473 (1956)",1955 J. Sup. Ct. U.S. 160,,,
Beatrice Rosenberg,,1956-03-05,"Hyun v. Landon (No. 201), 350 U.S. 990 (1956)",1955 J. Sup. Ct. U.S. 165,,,
Beatrice W. Lampert,,1956-04-25,"UAAIW v. Wisconsin Employment Relations Board (No. 530), 351 U.S. 266 (1956)",1955 J. Sup. Ct. U.S. 218,,,
Beatrice Rosenberg,,1956-12-11,"Prince v. United States (No. 132), 352 U.S. 322 (1957)",1956 J. Sup. Ct. U.S. 116,,,
Bessie Margolin,,"1957-02-26,1957-02-27","Mitchell v. Bekins Van & Storage (No. 122), 352 U.S. 1027 (1957)","1956 J. Sup. Ct. U.S. 182, 183",,,
Pearl M. Hart,"Chicago, IL",1957-02-28,"United States v. Witkovich (No. 295), 353 U.S. 194 (1957)",1956 J. Sup. Ct. U.S. 184,,,
Beatrice Rosenberg,,1957-03-28,"Curcio v. United States (No. 260), 354 U.S. 118 (1957)",1956 J. Sup. Ct. U.S. 220,,,
Beverly Tarpley,"Abilene, TX",1957-04-02,"Thomson v. Texas & Pac. R.R. (No. 321), 353 U.S. 968 (1957)",1956 J. Sup. Ct. U.S. 228,,,
Beatrice Rosenberg,,1957-10-29,"United States v. Sharpnack (No. 35), 355 U.S. 286 (1958)",1957 J. Sup. Ct. U.S. 54,,,
Ruth Kessler Toch,New York Ass't Attorney General,1958-03-04,"Lerner v. Casey (No. 183), 357 U.S. 468 (1958)",1957 J. Sup. Ct. U.S. 183,,,
Beatrice Rosenberg,,1958-05-19,"Gore v. United States (No. 668), 357 U.S. 386 (1958)",1957 J. Sup. Ct. U.S. 283,,,
Bessie Margolin,,1958-10-21,"Mitchell v. Lublin, McGaughey & Assoc. (No. 37), 358 U.S. 207 (1959)",1958 J. Sup. Ct. U.S. 56,,,
Beatrice Rosenberg,,1959-01-14,"Woody v. United States (No. 135), 359 U.S. 118 (1959)",1958 J. Sup. Ct. U.S. 133,,,
Melva M. Graney,,1959-02-26,"Sims v. United States (No. 88), 359 U.S. 108 (1959)",1958 J. Sup. Ct. U.S. 170,,,
Bessie Margolin,,1959-03-03,"Mitchell v. Kentucky Finance (No. 161), 359 U.S. 290 (1959)",1958 J. Sup. Ct. U.S. 180,,,
Anne X. Alpern,,1959-04-02,"Martin v. Creasy (No. 157), 360 U.S. 219 (1959)",1958 J. Sup. Ct. U.S. 211,,,
Thelma C. Furry,"Akron, OH",1959-04-23,"Morgan v. Ohio (No. 463), 358 U.S. 863 (1958)",1958 J. Sup. Ct. U.S. 235,,,
Ann Fagan Ginger,"Brooklyn, NY",1959-04-23,"Morgan v. Ohio (No. 463), 358 U.S. 863 (1958)",1958 J. Sup. Ct. U.S. 235,,,
Beatrice Rosenberg,,1959-04-28,"Rosenberg v. United States (No. 451), 360 U.S. 367 (1959)",1958 J. Sup. Ct. U.S. 243,,,
Lois G. Forer,Pennsylvania Deputy Attorney General,1959-05-22,"Illinois v. Michigan (No. 15 Orig.), 360 U.S. 712 (1959)",1958 J. Sup. Ct. U.S. 272,,,
Bessie Margolin,,1959-11-16,"Mitchell v. Robert DeMario Jewelry (No. 39), 361 U.S. 288 (1960)",1959 J. Sup. Ct. U.S. 91,,,
Bessie Margolin,,1959-11-17,"Mitchell v. Oregon Frozen Foods (No. 33), 361 U.S. 288 (1960)",1959 J. Sup. Ct. U.S. 92,,,
Beatrice Rosenberg,,1959-12-08,"United States v. Robinson (No. 16), 361 U.S. 220 (1960)",1959 J. Sup. Ct. U.S. 116,,,
Bessie Margolin,,1960-01-11,"Arnold v. Ben Kanowsky Inc. (No. 60), 361 U.S. 388 (1960)",1959 J. Sup. Ct. U.S. 140,,,
Bessie Margolin,,1960-02-25,"Mitchell v. H.P. Zachry Co. (No. 83), 362 U.S. 310 (1960)",1959 J. Sup. Ct. U.S. 182,,,
Beatrice Rosenberg,,1960-11-16,"Carbo v. United States (No. 72), 364 U.S. 611 (1961)",1960 J. Sup. Ct. U.S. 106,,,
Thelma C. Furry,,"1961-02-27,1961-02-28","Slagle v. Ohio (No. 105), 366 U.S. 259 (1961)",1960 J. Sup. Ct. U.S. 196,,,
Harriet Pilpel,"New York, NY, Planned Parenthood Federation of America, Inc.",1961-03-01,"Poe v. Ullman (Nos. 60-61), 367 U.S. 497 (1961)",1960 J. Sup. Ct. U.S. 198,,,
