usCite,caseName,dateDecision
"131 U.S. clxii","METROPOLITAN BANK v. CONNECTICUT MUTUAL LIFE INSURANCE COMPANY","1878-11-04"
"154 U.S. 639","HAGAR v. PEOPLE OF THE STATE OF CALIFORNIA","1878-11-12"
"131 U.S. cxlvii","ELIZABETH v. AMERICAN NICHOLSON PAVEMENT COMPANY","1878-11-25"
"154 U.S. 645","DOLD v. UNITED STATES","1878-12-23"
"131 U.S. clxv","HUNT v. HUNT","1879-01-06"
"131 U.S. ccxiii","MARSH v. CITIZENS INSURANCE COMPANY","1878-12-09"
"154 U.S. 640","WILSON v. GOODRICH","1878-12-23"
"131 U.S. clx","CARSON v. OBER","1879-01-13"
"154 U.S. 644","BETTS v. MUGRIDGE","1879-01-13"
"131 U.S. clxvi","KNOX COUNTY v. UNITED STATES EX REL. HARSHMAN","1879-01-29"
"154 U.S. 648","WILLIAMS v. UNITED STATES","1879-02-03"
"154 U.S. 642","CITY OF LEAVENWORTH v. KINNEY","1879-03-03"
"131 U.S. clxi","FLOURNOY v. LASTRAPES","1879-04-07"
"131 U.S. clxiv","UNITED STATES v. MORGAN","1879-05-05"
"131 U.S. clx","DUMONT v. DES MOINES VALLEY RAILROAD COMPANY","1879-05-05"
"154 U.S. 641","JAEGER v. MOORE","1879-05-05"
"154 U.S. 641","BURKE v. TREGRE","1879-05-05"
"154 U.S. 642","CASE v. MARCHAND","1879-01-27"
"154 U.S. 644","FAXON v. RUSSELL","1879-01-20"
"154 U.S. 645","INGERSOLL v. BOURNE","1878-12-02"
"131 U.S. ccxii","SOUTHERN v. HAGOOD","1878-11-04"
"101 U.S. 112","MARKET COMPANY v. HOFFMAN","1879-11-17"
"101 U.S. 119","ROBERTS v. BOLLES","1880-03-01"
"101 U.S. 781n","EDWIN C. LITCHFIELD v. COUNTY OF HAMILTON","1880-03-08"
"101 U.S. 835n","RAILROAD CO. v. ALABAMA","1880-05-10"
"154 U.S. 656","NATIONAL BANK OF THE REPUBLIC v. MILLARD","1879-11-03"
"154 U.S. 649","NORTH v. MCDONALD","1879-11-10"
"154 U.S. 650","LAMMERS v. NISSEN","1879-11-24"
"131 U.S. clxxiv","MCINTYRE v. GIBLIN","1879-12-01"
"131 U.S. ccxv","WEATHERBY v. BOWIE","1880-01-05"
"131 U.S. clxxii","KNICKERBOCKER LIFE INSURANCE COMPANY v. SCHNEIDER","1880-03-02"
"131 U.S. clxix","UNITED STATES EX REL. PHILLIPS v. GAINES","1880-03-15"
"154 U.S. 657","THE LOUISVILLE","1880-04-26"
"154 U.S. 659","SEA v. CONNECTICUT MUTUAL LIFE INSURANCE COMPANY","1880-05-10"
"131 U.S. clxvii","PHILLIPS, PETITIONER","1879-11-10"
"131 U.S. clxvlii","CRANE v. KANSAS PACIFIC RAILWAY COMPANY","1879-11-17"
"154 U.S. 651","FOLLANSBEE v. BALLARD PAVING COMPANY","1879-12-15"
"131 U.S. ccxiv","DE LIANO v. GAINES","1880-03-15"
"154 U.S. 654","DALLAS COUNTY v. HUIDEKOPER","1880-04-05"
"154 U.S. 655","DALLAS COUNTY v. HUIDEKOPER; DALLAS COUNTY v. DAVOL","1880-04-05"
"154 U.S. 654","BURR v. MYERS","1880-04-05"
"131 U.S. clxxv","RICE v. EDWARDS","1880-04-05"
"154 U.S. 653","GRAND TRUNK RAILWAY COMPANY v. WALKER","1880-04-05"
"154 U.S. 656","GAGE v. CARRAHER","1880-04-12"
"131 U.S. clxxvii","O'REILLY v. EDRINGTON","1880-04-19"
"154 U.S. 658","WOODFOLK v. SEDDON","1880-03-02"
"154 U.S. 650","WOOLFOLK v. NISBET","1879-12-01"
"154 U.S. 651","PONDER v. DELAUNEY","1880-03-29"
"154 U.S. 652","FONTAINE v. MCNAB","1880-03-29"
"154 U.S. 652","UNITED STATES v. WILLIAMS","1880-01-05"
"154 U.S. 657","JOUAN v. DIVOLL","1880-01-05"
"154 U.S. 659","COWDREY v. VANDENBURGH","1880-03-08"
"103 U.S. 542","THE STEAMBOAT SABINE, ETC., PIERRE S. WILTZ, PUBLIC ADMR. OF SARAH C. SHIRLEY, DECEASED, et al. v. THE STEAMBOAT RICHMOND, ETC., NATHANIEL S. GREEN, et al.","1881-03-21"
"154 U.S. 667","FRANCE v. STATE OF MISSOURI","1880-10-25"
"131 U.S. clxxxiii","ANDREWS v. CONGAR","1880-11-08"
"131 U.S. cxci","HAUENSTEIN v. LYNHAM","1880-11-22"
"131 U.S. cxcvii","FLETCHER v. BLAKE","1880-12-06"
"154 U.S. 663","MCLAUGHLIN v. FOWLER","1880-12-13"
"131 U.S. clxxxvii","KAISER v. STICKNEY","1880-12-13"
"131 U.S. clxxxvi","GIBBS v. DIEKMA","1880-12-13"
"154 U.S. 661","WHITE v. UNITED STATES","1880-12-13"
"154 U.S. 664","WHITNEY v. FIRST NATIONAL BANK OF BRATTLEBORO","1880-12-20"
"131 U.S. clxxxix","RELFE v. WILSON","1880-12-20"
"154 U.S. 665","BENTON COUNTY v. ROLLENS","1880-12-20"
"131 U.S. clxxxi","HAND v. HAGOOD","1880-10-25"
"131 U.S. ccxviii","LEARY v. LONG","1880-11-08"
"154 U.S. 660","BANK OF MONTREAL v. WHITE","1880-11-22"
"131 U.S. cc","HILL v. HARDING","1880-12-06"
"131 U.S. cci","FARLOW v. KELLEY","1881-03-14"
"131 U.S. cci","LOUISIANA EX REL. FOLSOM v. CITY OF NEW ORLEANS","1881-03-14"
"154 U.S. 665","SEWARD v. COMEAU","1881-03-21"
"131 U.S. ccxvi","BACON v. INTERNATIONAL BANK OF CHICAGO","1881-03-21"
"131 U.S. clxxx","CONNECTICUT MUTUAL LIFE INSURANCE COMPANY, PETITIONER","1881-05-02"
"154 U.S. 666","WIGHT v. CONDICT","1881-05-02"
"131 U.S. cxcii","UNION PACIFIC RAILROAD v. CLOPPER","1881-01-17"
"154 U.S. 664","RICHMOND MINING COMPANY OF NEVADA v. EUREKA CONSOLIDATED MINING COMPANY","1881-04-25"
"131 U.S. cxcvii","WHITNEY v. COOK","1881-05-02"
"103 U.S. 515n","COUNTY OF MORGAN v. ALLEN","1881-05-02"
"103 U.S. 247","THE STEAMSHIP BENEFACTOR v. MOUNT","1881-03-30"
"154 U.S. 660","GROAT v. O'HARE","1880-11-08"
"102 U.S. 612n","UNITED STATES v. ULRICI","1881-01-17"
"102 U.S. 663n","THIRD NATIONAL BANK v. NATIONAL BANK","1881-01-17"
"105 U.S. 418","UNITED STATES v. RINDSKOPF","1882-04-24"
"104 U.S. 657n","THE ST LOUIS SMELTING AND REFINING CO. v. SARAH RAY ET AL","1882-03-06"
"105 U.S. 646n","CLARK W. UPTON, ASSIGNEE IN BANKRUPTCY OF THE GREAT WESTERN INSURANCE COMPANY v. THOMAS A. KENT","1882-05-08"
"105 U.S. 739n","COUNTY COURT OF LINCOLN COUNTY AND THE JUDGES THEREOF v. UNITED STATES, EX REL. VESPASIAN WARNER","1882-05-08"
"106 U.S. 80","CHICAGO, DANVILLE AND VINCENNES RAILROAD COMPANY, JAMES W. ELWELL AND R. BIDDLE ROBERTS v. WILLIAM R. FOSDICK, JAMES D. FISH, FREDERICK W. HUIDEKOPER, THOMAS W SHANNON AND JOHN M. DENNISON","1882-05-08"
"154 U.S. 669","PRICE v. KELLEY","1881-10-25"
"154 U.S. 670","GLOVER v. LOVE","1881-11-07"
"131 U.S. ccxix","LANE v. WALLACE","1881-11-21"
"154 U.S. 669","HEARST v. HALLIGAN","1881-12-05"
"154 U.S. 676","GRAME v. MUTUAL ASSURANCE SOCIETY OF VIRGINIA","1881-12-12"
"131 U.S. cciv","SCRUGGS v. MEMPHIS AND CHARLESTON RAILROAD COMPANY","1881-12-12"
"154 U.S. 673","MELLON v. DELAWARE, LACKAWANNA AND WESTERN RAILROAD COMPANY","1882-04-03"
"154 U.S. 671","CONTINENTAL BANK NOTE COMPANY v. UNITED STATES","1882-03-20"
"154 U.S. 675","UPTON v. STEELE","1882-04-10"
"154 U.S. 675","UPTON v. MASON","1882-04-10"
"154 U.S. 674","UNITED STATES v. CANDA","1882-04-10"
"131 U.S. cciii","NATIONAL LIFE INSURANCE COMPANY v. SCHEFFER","1882-04-24"
"154 U.S. 670","ROBERTS v. BOLLES","1881-10-25"
"154 U.S. 671","LEVY v. DANGEL","1881-11-14"
"154 U.S. 676","UNITED STATES v. BARNETT","1882-03-06"
"106 U.S. 82","CHICAGO, DANVILLE AND VINCENNES RAILROAD COMPANY, JAMES W. ELWELL AND R. BIDDLE ROBERTS v. WILLIAM R. FOSDICK, JAMES D. FISH, FREDERICK W. HUIDEKOPER, THOMAS W SHANNON AND JOHN M. DENNISON","1882-10-23"
"106 U.S. 537n","UNITED STATES v. JOHN A. KNOWLES ET AL","1883-01-08"
"106 U.S. 583n","TOWN OF PLAINVIEW v. SAMUEL MARSHALL","1883-01-08"
"106 U.S. 623n","COUNTY OF ALEXANDER v. JOHN F. KIMBALL","1883-02-05"
"154 U.S. 672","BONNIFIELD v. PRICE","1882-12-27"
"107 U.S. 347n","MISSIONARY SOCIETY OF THE METHODIST EPISCOPAL CHURCH v. KELLY","1883-04-16"
"107 U.S. 595n","THE UNION TRUST COMPANY OF NEW YORK v. EDWARD FITZGERALD","1883-03-12"
"154 U.S. 678","STEEVER v. RICKMAN","1883-12-17"
"","COOK v. SANDUSKY TOOL COMPANY","1884-01-21"
"112 U.S. 193","GREAT WESTERN INSURANCE COMPANY v. UNITED STATES","1884-11-10"
"112 U.S. 205","FOSTER v. KANSAS","1884-11-10"
