usCite,caseName,dateDecision
"96 U.S. 449n","Jenkins v. Charleston","1878-04-08"
"97 U.S. 110n","County of Warren v. Post","1878-05-06"
"97 U.S. 110n","County of Warren v. Portsmouth Savings Bank","1878-05-06"
"97 U.S. 170n","United States v. Ceif's Assignee","1878-01-28"
"97 U.S. 170n","United States v. Levy","1878-01-28"
"97 U.S. 170n","United States v. Rowan","1878-01-28"
"97 U.S. 170n","United States v. Yorke","1878-01-28"
"97 U.S. 170n","United States v. White","1878-01-28"
"97 U.S. 170n","United States v. Bonnafon","1878-01-28"
"97 U.S. 170n","United States v. Ethel's Assignee","1878-01-28"
"97 U.S. 553n","United States v. Claflin","1878-12-02"
"98 U.S. 168n","Reynolds v. United States","1879-05-05"
"98 U.S. 179n","Orvis v. Powell","1879-04-28"
"98 U.S. 366n","Railroad Co. v. Georgia","1879-01-27"
"99 U.S. 462n","United States v. Denver Pacific R. Co","1879-03-17"
"99 U.S. 508n","Thomas v. Purcell","1879-03-17"
"99 U.S. 592n","County of Macon v. Huidekoper","1879-03-03"
"99 U.S. 674n","Lyon v. Hernandez","1879-01-13"
"100 U.S. 445n","Pierce v. Tough","1880-03-15"
"100 U.S. 535n","Mount Pleasant v. Cornell","1880-03-02"
"101 U.S. 331n","Smith v. Ayer","1879-10"
"101 U.S. 688n","Darlington v. County of Jackson","1880-03-29"
"102 U.S. 119n","Brown v. Davidson","1880-11-08"
"102 U.S. 407n","United States v. Schurz","1881-01-10"
"102 U.S. 422n","Daniels v. Tearney","1880-12-13"
"103 U.S. 344n","Weitzel v. Kayser","1881-01-10"
"103 U.S. 515n","Allen v. County of Morgan","1881-04-11"
"103 U.S. 540n","County of Tipton v. Norton","1881-01-24"
"103 U.S. 765","Hinckley v. Morton","1881-05-02"
"104 U.S. 418n","Bronson v. Loeschigk","1882-01-09"
"104 U.S. 500n","Vietor v. Arthur","1882-05-08"
"104 U.S. 618n","Ex parte Alabama","1882-01-23"
"105 U.S. 12","Pollard v. Mail Line Co","1882-03-20"
"105 U.S. 316","Supervisors v. Stanley","1882-04-24"
"105 U.S. 576n","Packing Co. v. Clapp","1882-05-08"
