term,usCite,caseTitle,audioTitle,docket,dateArgument,dateDecision,url,file,urlOyez,notes
"1955","350 U.S. 857","Williams v. United States","Oral Argument - October 13, 1955 (Part 1)","24","1955-10-13","1955-10-17","https://api.oyez.org/case_media/oral_argument_audio/13114","/sources/oyez/transcripts/_files/1955/24_13114_argument.json","https://api.oyez.org/cases/1955/24",""
"1955","350 U.S. 61","Indian Towing Company, Inc. v. United States","Oral Reargument - October 13, 1955","8","1955-10-13","1955-11-21","https://api.oyez.org/case_media/oral_argument_audio/13077","/sources/oyez/transcripts/_files/1955/8_13077_argument.json","https://api.oyez.org/cases/1955/8",""
"1955","350 U.S. 868","Walton v. California","Oral Argument - October 17, 1955 (Part 1)","16","1955-10-17","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/13018","/sources/oyez/transcripts/_files/1955/16_13018_argument.json","https://api.oyez.org/cases/1955/16",""
"1955","350 U.S. 868","Walton v. California","Oral Argument - October 17, 1955 (Part 2)","16","1955-10-17","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/13048","/sources/oyez/transcripts/_files/1955/16_13048_argument.json","https://api.oyez.org/cases/1955/16",""
"1955","350 U.S. 270","Mastro Plastics Corporation v. National Labor Relations Board","Oral Argument - October 17, 1955","19","1955-10-17","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13027","/sources/oyez/transcripts/_files/1955/19_13027_argument.json","https://api.oyez.org/cases/1955/19",""
"1955","350 U.S. 46","Corn Products Refining Company v. Commissioner of Internal Revenue","Oral Argument - October 18, 1955","20","1955-10-18","1955-11-07","https://api.oyez.org/case_media/oral_argument_audio/13049","/sources/oyez/transcripts/_files/1955/20_13049_argument.json","https://api.oyez.org/cases/1955/20",""
"1955","350 U.S. 222","United States v. Twin City Power Company","Oral Argument - October 18, 1955","21","1955-10-18","1956-01-23","https://api.oyez.org/case_media/oral_argument_audio/13059","/sources/oyez/transcripts/_files/1955/21_13059_argument.json","https://api.oyez.org/cases/1955/21",""
"1955","350 U.S. 551","Slochower v. Board of Higher Education of New York City","Oral Argument - October 18, 1955","23","1955-10-18","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/13130","/sources/oyez/transcripts/_files/1955/23_13130_argument.json","https://api.oyez.org/cases/1955/23",""
"1955","350 U.S. 551","Slochower v. Board of Higher Education of New York City","Oral Argument - October 19, 1955","23","1955-10-19","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/13133","/sources/oyez/transcripts/_files/1955/23_13133_argument.json","https://api.oyez.org/cases/1955/23",""
"1955","","Liquid Carbonic Corp. v. United States","Oral Argument - October 19, 1955","25","1955-10-19","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/13135","/sources/oyez/transcripts/_files/1955/25_13135_argument.json","https://api.oyez.org/cases/1955/25",""
"1955","350 U.S. 869","Nukk v. Shaughnessy","Oral Argument - October 19, 1955 (Part 2)","29","1955-10-19","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/13098","/sources/oyez/transcripts/_files/1955/29_13098_argument.json","https://api.oyez.org/cases/1955/29",""
"1955","350 U.S. 869","Nukk v. Shaughnessy","Oral Argument - October 19, 1955 (Part 1)","29","1955-10-19","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/13040","/sources/oyez/transcripts/_files/1955/29_13040_argument.json","https://api.oyez.org/cases/1955/29",""
"1955","","Liquid Carbonic Corp. v. United States","Oral Argument - October 20, 1955","25","1955-10-20","1955-10-24","https://api.oyez.org/case_media/oral_argument_audio/12994","/sources/oyez/transcripts/_files/1955/25_12994_argument.json","https://api.oyez.org/cases/1955/25",""
"1955","350 U.S. 55","United States v. Anderson, Clayton & Company","Oral Argument - October 20, 1955","26","1955-10-20","1955-11-07","https://api.oyez.org/case_media/oral_argument_audio/13023","/sources/oyez/transcripts/_files/1955/26_13023_argument.json","https://api.oyez.org/cases/1955/26",""
"1955","350 U.S. 107","National Labor Relations Board v. Warren Company, Inc.","Oral Argument - October 20, 1955","27","1955-10-20","1955-12-12","https://api.oyez.org/case_media/oral_argument_audio/13104","/sources/oyez/transcripts/_files/1955/27_13104_argument.json","https://api.oyez.org/cases/1955/27",""
"1955","350 U.S. 332","United Gas Pipe Line Company v. Mobile Gas Service Corporation","Oral Argument - November 07, 1955","17","1955-11-07","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13067","/sources/oyez/transcripts/_files/1955/17_13067_argument.json","https://api.oyez.org/cases/1955/17",""
"1955","350 U.S. 77","Neese v. Southern Railway Company","Oral Argument - November 07, 1955 (Part 1)","28","1955-11-07","1955-11-21","https://api.oyez.org/case_media/oral_argument_audio/13122","/sources/oyez/transcripts/_files/1955/28_13122_argument.json","https://api.oyez.org/cases/1955/28",""
"1955","350 U.S. 77","Neese v. Southern Railway Company","Oral Argument - November 07, 1955 (Part 2)","28","1955-11-07","1955-11-21","https://api.oyez.org/case_media/oral_argument_audio/13009","/sources/oyez/transcripts/_files/1955/28_13009_argument.json","https://api.oyez.org/cases/1955/28",""
"1955","350 U.S. 332","United Gas Pipe Line Company v. Mobile Gas Service Corporation","Oral Argument - November 08, 1955","17","1955-11-08","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13138","/sources/oyez/transcripts/_files/1955/17_13138_argument.json","https://api.oyez.org/cases/1955/17",""
"1955","350 U.S. 91","Michel v. Louisiana","Oral Argument, Part 1: Michel v. Louisiana (32) - November 08, 1955","32","1955-11-08","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/13110","/sources/oyez/transcripts/_files/1955/32_13110_argument.json","https://api.oyez.org/cases/1955/32",""
"1955","350 U.S. 348","Federal Power Commission v. Sierra Pacific Power Company","Oral Argument - November 08, 1955 (Part 1)","51","1955-11-08","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13085","/sources/oyez/transcripts/_files/1955/51_13085_argument.json","https://api.oyez.org/cases/1955/51",""
"1955","350 U.S. 348","Federal Power Commission v. Sierra Pacific Power Company","Oral Argument - November 08, 1955 (Part 2)","51","1955-11-08","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/12998","/sources/oyez/transcripts/_files/1955/51_12998_argument.json","https://api.oyez.org/cases/1955/51",""
"1955","350 U.S. 85","Reece v. Georgia","Oral Argument - November 09, 1955","112","1955-11-09","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/13109","/sources/oyez/transcripts/_files/1955/112_13109_argument.json","https://api.oyez.org/cases/1955/112",""
"1955","350 U.S. 91","Michel v. Louisiana","Oral Argument, Part 2: Poret v. Louisiana (36) - November 09, 1955","32","1955-11-09","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/23570","/sources/oyez/transcripts/_files/1955/32_23570_argument.json","https://api.oyez.org/cases/1955/32",""
"1955","350 U.S. 91","Michel v. Louisiana","Oral Argument, Part 2: Michel v. Louisiana (32) - November 09, 1955","32","1955-11-09","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/13020","/sources/oyez/transcripts/_files/1955/32_13020_argument.json","https://api.oyez.org/cases/1955/32",""
"1955","350 U.S. 91","Michel v. Louisiana","Oral Argument, Part 1: Poret v. Louisiana (36) - November 09, 1955","32","1955-11-09","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/23595","/sources/oyez/transcripts/_files/1955/32_23595_argument.json","https://api.oyez.org/cases/1955/32",""
"1955","350 U.S. 214","Rea v. United States","Oral Argument - November 10, 1955","30","1955-11-10","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/13031","/sources/oyez/transcripts/_files/1955/30_13031_argument.json","https://api.oyez.org/cases/1955/30",""
"1955","350 U.S. 155","Local Union No. 25 of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America v. New York, New Haven & Hartford Railroad Company","Oral Argument - November 10, 1955","33","1955-11-10","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13094","/sources/oyez/transcripts/_files/1955/33_13094_argument.json","https://api.oyez.org/cases/1955/33",""
"1955","350 U.S. 891","Mitchell v. Myrtle Grove Packing Co.","Oral Argument - November 10, 1955","44","1955-11-10","1955-11-14","https://api.oyez.org/case_media/oral_argument_audio/13074","/sources/oyez/transcripts/_files/1955/44_13074_argument.json","https://api.oyez.org/cases/1955/44",""
"1955","350 U.S. 179","United States v. Minker","Oral Argument, Part 1: Falcone v. Barnes - November 14, 1955 (47)","35","1955-11-14","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/14149","/sources/oyez/transcripts/_files/1955/35_14149_argument.json","https://api.oyez.org/cases/1955/35",""
"1955","350 U.S. 179","United States v. Minker","Oral Argument, Part 1: United States v. Minker - November 14, 1955 (35)","35","1955-11-14","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/13065","/sources/oyez/transcripts/_files/1955/35_13065_argument.json","https://api.oyez.org/cases/1955/35",""
"1955","350 U.S. 179","United States v. Minker","Oral Argument, Part 2: United States v. Minker - November 14, 1955 (35)","35","1955-11-14","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/13144","/sources/oyez/transcripts/_files/1955/35_13144_argument.json","https://api.oyez.org/cases/1955/35",""
"1955","350 U.S. 116","Pennsylvania ex rel. Herman v. Claudy","Oral Argument - November 14, 1955","45","1955-11-14","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13105","/sources/oyez/transcripts/_files/1955/45_13105_argument.json","https://api.oyez.org/cases/1955/45",""
"1955","350 U.S. 497","Pennsylvania v. Nelson","Oral Argument - November 15, 1955","10","1955-11-15","1956-04-02","https://api.oyez.org/case_media/oral_argument_audio/13092","/sources/oyez/transcripts/_files/1955/10_13092_argument.json","https://api.oyez.org/cases/1955/10",""
"1955","350 U.S. 179","United States v. Minker","Oral Argument, Part 2: Falcone v. Barnes - November 15, 1955 (47)","35","1955-11-15","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/14446","/sources/oyez/transcripts/_files/1955/35_14446_argument.json","https://api.oyez.org/cases/1955/35",""
"1955","350 U.S. 568","Armstrong v. Armstrong","Oral Argument - November 15, 1955 (Part 2)","38","1955-11-15","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/13043","/sources/oyez/transcripts/_files/1955/38_13043_argument.json","https://api.oyez.org/cases/1955/38",""
"1955","350 U.S. 568","Armstrong v. Armstrong","Oral Argument - November 15, 1955 (Part 1)","38","1955-11-15","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/13016","/sources/oyez/transcripts/_files/1955/38_13016_argument.json","https://api.oyez.org/cases/1955/38",""
"1955","350 U.S. 79","Affronti v. United States","Oral Argument - November 15, 1955","71","1955-11-15","1955-12-05","https://api.oyez.org/case_media/oral_argument_audio/13127","/sources/oyez/transcripts/_files/1955/71_13127_argument.json","https://api.oyez.org/cases/1955/71",""
"1955","350 U.S. 497","Pennsylvania v. Nelson","Oral Argument - November 16, 1955 (Part 1)","10","1955-11-16","1956-04-02","https://api.oyez.org/case_media/oral_argument_audio/13051","/sources/oyez/transcripts/_files/1955/10_13051_argument.json","https://api.oyez.org/cases/1955/10",""
"1955","350 U.S. 497","Pennsylvania v. Nelson","Oral Argument - November 16, 1955 (Part 2)","10","1955-11-16","1956-04-02","https://api.oyez.org/case_media/oral_argument_audio/13100","/sources/oyez/transcripts/_files/1955/10_13100_argument.json","https://api.oyez.org/cases/1955/10",""
"1955","350 U.S. 247","Steiner v. Mitchell","Oral Argument - November 16, 1955","22","1955-11-16","1956-01-30","https://api.oyez.org/case_media/oral_argument_audio/13033","/sources/oyez/transcripts/_files/1955/22_13033_argument.json","https://api.oyez.org/cases/1955/22",""
"1955","350 U.S. 260","Mitchell v. King Packing Company","Oral Argument - November 16, 1955","39","1955-11-16","1956-01-30","https://api.oyez.org/case_media/oral_argument_audio/13107","/sources/oyez/transcripts/_files/1955/39_13107_argument.json","https://api.oyez.org/cases/1955/39",""
"1955","350 U.S. 260","Mitchell v. King Packing Company","Oral Argument - November 17, 1955","39","1955-11-17","1956-01-30","https://api.oyez.org/case_media/oral_argument_audio/13011","/sources/oyez/transcripts/_files/1955/39_13011_argument.json","https://api.oyez.org/cases/1955/39",""
"1955","351 U.S. 115","Communist Party of United States v. Subversive Activities Control Bd.","Oral Argument - November 17, 1955 (Part 2)","48","1955-11-17","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/13124","/sources/oyez/transcripts/_files/1955/48_13124_argument.json","https://api.oyez.org/cases/1955/48",""
"1955","351 U.S. 115","Communist Party of United States v. Subversive Activities Control Bd.","Oral Argument - November 17, 1955 (Part 1)","48","1955-11-17","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/12990","/sources/oyez/transcripts/_files/1955/48_12990_argument.json","https://api.oyez.org/cases/1955/48",""
"1955","350 U.S. 356","Gibson v. Lockheed Aircraft Service, Inc.","Oral Argument - December 05, 1955","42","1955-12-05","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13080","/sources/oyez/transcripts/_files/1955/42_13080_argument.json","https://api.oyez.org/cases/1955/42",""
"1955","350 U.S. 148","Rex Trailer Company, Inc. v. United States","Oral Argument - December 05, 1955","46","1955-12-05","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13006","/sources/oyez/transcripts/_files/1955/46_13006_argument.json","https://api.oyez.org/cases/1955/46",""
"1955","350 U.S. 198","Bernhardt v. Polygraphic Company of America, Inc.","Oral Argument - December 05, 1955 (Part 2)","49","1955-12-05","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/13106","/sources/oyez/transcripts/_files/1955/49_13106_argument.json","https://api.oyez.org/cases/1955/49",""
"1955","350 U.S. 198","Bernhardt v. Polygraphic Company of America, Inc.","Oral Argument - December 05, 1955 (Part 1)","49","1955-12-05","1956-01-16","https://api.oyez.org/case_media/oral_argument_audio/13141","/sources/oyez/transcripts/_files/1955/49_13141_argument.json","https://api.oyez.org/cases/1955/49",""
"1955","350 U.S. 356","Gibson v. Lockheed Aircraft Service, Inc.","Oral Argument - December 06, 1955","42","1955-12-06","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13053","/sources/oyez/transcripts/_files/1955/42_13053_argument.json","https://api.oyez.org/cases/1955/42",""
"1955","350 U.S. 422","Ullmann v. United States","Oral Argument - December 06, 1955","58","1955-12-06","1956-03-26","https://api.oyez.org/case_media/oral_argument_audio/13087","/sources/oyez/transcripts/_files/1955/58_13087_argument.json","https://api.oyez.org/cases/1955/58",""
"1955","350 U.S. 920","Gonzales v. Landon","Oral Argument - December 07, 1955","111","1955-12-07","1955-12-12","https://api.oyez.org/case_media/oral_argument_audio/13004","/sources/oyez/transcripts/_files/1955/111_13004_argument.json","https://api.oyez.org/cases/1955/111",""
"1955","350 U.S. 383","United States v. Leslie Salt Company","Oral Argument - December 07, 1955","74","1955-12-07","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13028","/sources/oyez/transcripts/_files/1955/74_13028_argument.json","https://api.oyez.org/cases/1955/74",""
"1955","351 U.S. 12","Griffin v. Illinois","Oral Argument - December 07, 1955 (Part 2)","95","1955-12-07","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13022","/sources/oyez/transcripts/_files/1955/95_13022_argument.json","https://api.oyez.org/cases/1955/95",""
"1955","351 U.S. 12","Griffin v. Illinois","Oral Argument - December 07, 1955 (Part 1)","95","1955-12-07","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13010","/sources/oyez/transcripts/_files/1955/95_13010_argument.json","https://api.oyez.org/cases/1955/95",""
"1955","350 U.S. 114","Arizona v. California","Oral Argument - December 08, 1955 (Part 2)","10 Orig.","1955-12-08","1955-12-08","https://api.oyez.org/case_media/oral_argument_audio/13117","/sources/oyez/transcripts/_files/1955/10-orig_13117_argument.json","https://api.oyez.org/cases/1955/10_orig",""
"1955","350 U.S. 114","Arizona v. California","Oral Argument - December 08, 1955 (Part 1)","10 Orig.","1955-12-08","1955-12-08","https://api.oyez.org/case_media/oral_argument_audio/13052","/sources/oyez/transcripts/_files/1955/10-orig_13052_argument.json","https://api.oyez.org/cases/1955/10_orig",""
"1955","350 U.S. 920","Gonzales v. Landon","Oral Argument - December 08, 1955","111","1955-12-08","1955-12-12","https://api.oyez.org/case_media/oral_argument_audio/13145","/sources/oyez/transcripts/_files/1955/111_13145_argument.json","https://api.oyez.org/cases/1955/111",""
"1955","350 U.S. 1003","Riverbank Laboratories v. Hardwood Products Corp.","Oral Argument - January 16, 1956 (Part 2)","66","1956-01-16","1956-04-02","https://api.oyez.org/case_media/oral_argument_audio/23710","/sources/oyez/transcripts/_files/1955/66_23710_argument.json","https://api.oyez.org/cases/1955/66",""
"1955","350 U.S. 1003","Riverbank Laboratories v. Hardwood Products Corp.","Oral Argument - January 16, 1956 (Part 1)","66","1956-01-16","1956-04-02","https://api.oyez.org/case_media/oral_argument_audio/23709","/sources/oyez/transcripts/_files/1955/66_23709_argument.json","https://api.oyez.org/cases/1955/66",""
"1955","350 U.S. 359","Costello v. United States","Oral Argument - January 16, 1956","72","1956-01-16","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13062","/sources/oyez/transcripts/_files/1955/72_13062_argument.json","https://api.oyez.org/cases/1955/72",""
"1955","350 U.S. 359","Costello v. United States","Oral Argument - January 17, 1956","72","1956-01-17","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13058","/sources/oyez/transcripts/_files/1955/72_13058_argument.json","https://api.oyez.org/cases/1955/72",""
"1955","350 U.S. 264","National Labor Relations Board v. Coca-Cola Bottling Company of Louisville, Inc.","Oral Argument - January 17, 1956 (Part 1)","79","1956-01-17","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13119","/sources/oyez/transcripts/_files/1955/79_13119_argument.json","https://api.oyez.org/cases/1955/79",""
"1955","350 U.S. 264","National Labor Relations Board v. Coca-Cola Bottling Company of Louisville, Inc.","Oral Argument - January 17, 1956 (Part 2)","79","1956-01-17","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13128","/sources/oyez/transcripts/_files/1955/79_13128_argument.json","https://api.oyez.org/cases/1955/79",""
"1955","350 U.S. 537","International Harvester Credit Corporation v. Goodrich","Oral Argument - January 17, 1956","82","1956-01-17","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/13089","/sources/oyez/transcripts/_files/1955/82_13089_argument.json","https://api.oyez.org/cases/1955/82",""
"1955","350 U.S. 377","Remmer v. United States","Oral Argument - January 18, 1956","156","1956-01-18","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13050","/sources/oyez/transcripts/_files/1955/156_13050_argument.json","https://api.oyez.org/cases/1955/156",""
"1955","350 U.S. 462","General Stores Corporation v. Shlensky","Oral Argument - January 18, 1956","170","1956-01-18","1956-03-26","https://api.oyez.org/case_media/oral_argument_audio/13102","/sources/oyez/transcripts/_files/1955/170_13102_argument.json","https://api.oyez.org/cases/1955/170",""
"1955","350 U.S. 537","International Harvester Credit Corporation v. Goodrich","Oral Argument - January 18, 1956","82","1956-01-18","1956-04-09","https://api.oyez.org/case_media/oral_argument_audio/12995","/sources/oyez/transcripts/_files/1955/82_12995_argument.json","https://api.oyez.org/cases/1955/82",""
"1955","351 U.S. 1","Squire v. Capoeman","Oral Argument - January 19, 1956 (Part 2)","134","1956-01-19","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13132","/sources/oyez/transcripts/_files/1955/134_13132_argument.json","https://api.oyez.org/cases/1955/134",""
"1955","351 U.S. 1","Squire v. Capoeman","Oral Argument - January 19, 1956 (Part 1)","134","1956-01-19","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13108","/sources/oyez/transcripts/_files/1955/134_13108_argument.json","https://api.oyez.org/cases/1955/134",""
"1955","350 U.S. 318","Shields v. Atlantic Coast Line Railroad Company","Oral Argument - January 19, 1956","150","1956-01-19","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13072","/sources/oyez/transcripts/_files/1955/150_13072_argument.json","https://api.oyez.org/cases/1955/150",""
"1955","350 U.S. 299","United States v. Ryan","Oral Argument - January 19, 1956","281","1956-01-19","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13073","/sources/oyez/transcripts/_files/1955/281_13073_argument.json","https://api.oyez.org/cases/1955/281",""
"1955","350 U.S. 955","Wisconsin v. Tennessee","Oral Argument - January 23, 1956","13 Orig.","1956-01-23","1956-01-30","https://api.oyez.org/case_media/oral_argument_audio/12993","/sources/oyez/transcripts/_files/1955/13-orig_12993_argument.json","https://api.oyez.org/cases/1955/13-orig",""
"1955","351 U.S. 62","United Mine Workers of America v. Arkansas Oak Floorings Company","Oral Argument - January 23, 1956 (Part 2)","227","1956-01-23","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13123","/sources/oyez/transcripts/_files/1955/227_13123_argument.json","https://api.oyez.org/cases/1955/227",""
"1955","351 U.S. 62","United Mine Workers of America v. Arkansas Oak Floorings Company","Oral Argument - January 23, 1956 (Part 1)","227","1956-01-23","1956-04-23","https://api.oyez.org/case_media/oral_argument_audio/13063","/sources/oyez/transcripts/_files/1955/227_13063_argument.json","https://api.oyez.org/cases/1955/227",""
"1955","350 U.S. 308","Commissioner of Internal Revenue v. Southwest Exploration Company","Oral Argument - January 23, 1956","286","1956-01-23","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13068","/sources/oyez/transcripts/_files/1955/286_13068_argument.json","https://api.oyez.org/cases/1955/286",""
"1956","352 U.S. 862","Thompson v. Coastal Oil Co.","Oral Argument - January 24, 1956","1","1956-01-24","1956-10-15","https://api.oyez.org/case_media/oral_argument_audio/13000","/sources/oyez/transcripts/_files/1956/1_13000_argument.json","https://api.oyez.org/cases/1956/1",""
"1955","350 U.S. 399","Cammer v. United States","Oral Argument - January 24, 1956 (Part 2)","110","1956-01-24","1956-03-12","https://api.oyez.org/case_media/oral_argument_audio/13066","/sources/oyez/transcripts/_files/1955/110_13066_argument.json","https://api.oyez.org/cases/1955/110",""
"1955","350 U.S. 399","Cammer v. United States","Oral Argument - January 24, 1956 (Part 1)","110","1956-01-24","1956-03-12","https://api.oyez.org/case_media/oral_argument_audio/13142","/sources/oyez/transcripts/_files/1955/110_13142_argument.json","https://api.oyez.org/cases/1955/110",""
"1955","351 U.S. 91","United States v. Zucca","Oral Argument - January 24, 1956","213","1956-01-24","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/13095","/sources/oyez/transcripts/_files/1955/213_13095_argument.json","https://api.oyez.org/cases/1955/213",""
"1955","350 U.S. 308","Commissioner of Internal Revenue v. Southwest Exploration Company","Oral Argument - January 24, 1956","286","1956-01-24","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/15298","/sources/oyez/transcripts/_files/1955/286_15298_argument.json","https://api.oyez.org/cases/1955/286",""
"1955","350 U.S. 308","Commissioner of Internal Revenue v. Southwest Exploration Company","Oral Argument - January 24, 1956","286","1956-01-24","1956-02-27","https://api.oyez.org/case_media/oral_argument_audio/13091","/sources/oyez/transcripts/_files/1955/286_13091_argument.json","https://api.oyez.org/cases/1955/286",""
"1955","351 U.S. 91","United States v. Zucca","Oral Argument - January 25, 1956","213","1956-01-25","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/13120","/sources/oyez/transcripts/_files/1955/213_13120_argument.json","https://api.oyez.org/cases/1955/213",""
"1955","351 U.S. 105","National Labor Relations Board v. Babcock & Wilcox Company","Oral Argument - January 25, 1956","250","1956-01-25","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/13061","/sources/oyez/transcripts/_files/1955/250_13061_argument.json","https://api.oyez.org/cases/1955/250",""
"1955","350 U.S. 366","Greenwood v. United States","Oral Argument - January 25, 1956 (Part 2)","460","1956-01-25","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13045","/sources/oyez/transcripts/_files/1955/460_13045_argument.json","https://api.oyez.org/cases/1955/460",""
"1955","350 U.S. 366","Greenwood v. United States","Oral Argument - January 25, 1956 (Part 1)","460","1956-01-25","1956-03-05","https://api.oyez.org/case_media/oral_argument_audio/13129","/sources/oyez/transcripts/_files/1955/460_13129_argument.json","https://api.oyez.org/cases/1955/460",""
"1955","351 U.S. 105","National Labor Relations Board v. Babcock & Wilcox Company","Oral Argument - January 26, 1956","250","1956-01-26","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/23672","/sources/oyez/transcripts/_files/1955/250_23672_argument.json","https://api.oyez.org/cases/1955/250",""
"1955","351 U.S. 105","National Labor Relations Board v. Babcock & Wilcox Company","Oral Argument - January 26, 1956","250","1956-01-26","1956-04-30","https://api.oyez.org/case_media/oral_argument_audio/14825","/sources/oyez/transcripts/_files/1955/250_14825_argument.json","https://api.oyez.org/cases/1955/250",""
